#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6589.5615731340995    All      0.979317471402917         -0.13027678841641688       -0.15897721320938807       -0.3685257778596157       
Zeropoint     AB|PS|PS_r                5440.448636429223     All      0.6053399657307679        0.38033286164758096        0.014699449422161948       -0.07263624739815983      
Zeropoint     AB|PS|PS_z                7573.014145530331     All      0.3867354828996309        -0.051246933971249575      0.14474502761245844        -0.13620597657588718      
Zeropoint     AB|PS|PS_g                4284.04682116162      All      -0.9736587092533127       0.7997255168548989         0.0005250928093891716      0.5776730175319538        
Check         All|All|All               All                   All      0.9977342107800029        0.9985346561148134         0.000992356634621494       0.0003050156982911112     
Lambda        AB|PS|PS_i                6589.5615731340995    All      -0.000410058874783695     2.1910045003413212e-05     -0.0005058637162186956     0.00011813211422317489    
Lambda        AB|PS|PS_r                5440.448636429223     All      0.0001468819327142907     6.202799685979911e-05      -0.0006856766798939062     -5.823831954395985e-05    
Lambda        AB|PS|PS_z                7573.014145530331     All      -4.408220390687003e-05    -1.2494270565300258e-05    -0.00010365976551497433    5.663369858637878e-06     
Lambda        AB|PS|PS_g                4284.04682116162      All      -0.0006022271153879484    0.0003083084415447551      -0.0008565075748227756     0.0002583693873556949     
MWEBV         All|All|All               All                   All      -0.5734405053673535       -3.4924713986859146        0.02242518635011681        -0.9498236621461222       
Redshift      All|All|All               All                   All      4.457102534608927         0.37445517943499596        1.484326174957351          -1.26361389876377         
