#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6700.6197332069205    All      0.15324093050766693        0.01400480902500334        0.07736393899870908       -0.0419013882214464       
Zeropoint     AB|PS|PS_r                4813.721035008508     All      0.4247669222241205         0.3222827669770112         -0.26080353935345746      -0.045020925126557955     
Zeropoint     AB|PS|PS_i                5830.458713217194     All      1.2945014880950407         0.16930051120063183        -0.05769077158147562      -0.3690894503586551       
Zeropoint     AB|PS|PS_g                3790.5341408612526    All      -0.8753403769286758        0.4932015436510895         0.24542899659844852       0.45673149612825825       
Check         All|All|All               All                   All      0.9971689638981521         0.9987896308537358         0.004298624662224526      0.0007197324215988399     
Lambda        AB|PS|PS_z                6700.6197332069205    All      -0.0005939204172491822     -0.0001231304330447899     -0.0016476462919043401    7.982489974381034e-05     
Lambda        AB|PS|PS_r                4813.721035008508     All      -9.923589154050838e-05     -1.5986774001216095e-05    -0.0006546310006721254    -2.096198551397033e-06    
Lambda        AB|PS|PS_i                5830.458713217194     All      -0.00027129274098626856    6.013540107576842e-06      0.0006082235172884052     0.00011747000096493713    
Lambda        AB|PS|PS_g                3790.5341408612526    All      -0.001374931115293341      0.0005871665446125973      -0.0012491778652610418    0.0005833746880668325     
MWEBV         All|All|All               All                   All      -0.4881978095933368        -2.9023031156160783        0.13158051222236233       -0.7804816859440644       
Redshift      All|All|All               All                   All      4.613790013838628          0.06321051433211267        -1.2378752811072535       -1.5375141410482767       
