#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6700.6197332069205    All      0.36072660581881355        0.04746067206706783        0.5102041463222245        -0.07927295299856708       
Zeropoint     AB|PS|PS_r                4813.721035008508     All      0.4160552384762919         0.30398856129405516        -0.2989034155568274       -0.049842490264990914      
Zeropoint     AB|PS|PS_i                5830.458713217194     All      1.2312710970157428         0.1460776567075328         -0.24601713433653583      -0.3644618201017314        
Zeropoint     AB|PS|PS_g                3790.5341408612526    All      -1.0098237596177162        0.5012296544137484         0.0420681324960036        0.4940771166721229         
Check         All|All|All               All                   All      0.9982291816931319         0.9987565444824043         0.007351728924864902      0.0004998533068334976      
Lambda        AB|PS|PS_z                6700.6197332069205    All      -0.00035523156698306934    -4.632999941838795e-05     -0.0005392143491504223    7.655674323487737e-05      
Lambda        AB|PS|PS_r                4813.721035008508     All      -6.325672149097778e-05     -2.7419081719459825e-05    -0.0007782288273326313    -2.3055279991222324e-05    
Lambda        AB|PS|PS_i                5830.458713217194     All      -0.0002823448607114367     -1.9750741825999123e-05    0.0003324926532317811     0.00010037316364110477     
Lambda        AB|PS|PS_g                3790.5341408612526    All      -0.0015663591345615197     0.0005635976638279365      -0.0015481837482563955    0.0006247086725988046      
MWEBV         All|All|All               All                   All      -0.4881921752933822        -2.9023518210076205        0.12704380669457635       -0.7807018385006779        
Redshift      All|All|All               All                   All      4.63374976067972           0.3614897831109687         3.732933921322527         -1.2250319317093046        
