#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4541.28750788264     All      -0.9106647810140258        0.986156982251174          0.3293986745262968         0.6325568018486327        
Zeropoint     AB|PS|PS_r                5767.126845545065    All      0.6466693053820374         0.22505665986152223        -0.8628760300094955        -0.17583930346313226      
Zeropoint     AB|PS|PS_i                6985.239635262244    All      0.8723611577408484         -0.10372652794821136       0.4803582475811488         -0.29650768917603987      
Zeropoint     AB|PS|PS_z                8027.74478706333     All      0.38714605949899505        -0.10838161679327385       0.05135658583797706        -0.1591178579910313       
Check         All|All|All               All                  All      0.9955117416078549         0.999105497371211          -0.0017625220640728745     0.00109195121842931       
Lambda        AB|PS|PS_g                4541.28750788264     All      -0.00034680332889444463    0.00020311875584219037     -0.0006864828978551314     0.0001484931360685609     
Lambda        AB|PS|PS_r                5767.126845545065    All      -0.00010441196917574007    -2.9793772587881024e-05    -0.00017881834770626614    1.6325759919251003e-05    
Lambda        AB|PS|PS_i                6985.239635262244    All      -0.0005823192736623635     1.410180701730341e-05      -0.0009231121096425331     0.00015307971389532244    
Lambda        AB|PS|PS_z                8027.74478706333     All      -6.422063400626969e-05     5.9049228469039765e-05     0.00025803261801531617     5.166786030729895e-05     
MWEBV         All|All|All               All                  All      -0.5908412062145749        -3.801349614901106         0.04480905891966966        -1.0437685887995234       
Redshift      All|All|All               All                  All      2.7910211646153495         0.546956924384645          -0.42430949967315335       -0.7499005347511162       
