#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4541.28750788264     All      -0.9624141497444372        0.9788397308827967        0.1745757330745648        0.640120767445749         
Zeropoint     AB|PS|PS_r                5767.126845545065    All      0.6759558154328432         0.24471001958055183       -0.6900680596129553       -0.1712655114069271       
Zeropoint     AB|PS|PS_i                6985.239635262244    All      0.8398594830539781         -0.11113557960307219      0.4239199690421535        -0.2908527774912949       
Zeropoint     AB|PS|PS_z                8027.74478706333     All      0.44463007219412776        -0.11393730385762524      0.09301920127362313       -0.1777927509697937       
Check         All|All|All               All                  All      0.998031220936512          0.9984768670026511        0.0014468437773862558     0.00020972757773324302    
Lambda        AB|PS|PS_g                4541.28750788264     All      -0.00030463151634396767    9.530119189547155e-05     -0.0009101371975205443    8.965599745248361e-05     
Lambda        AB|PS|PS_r                5767.126845545065    All      -0.00013430942586658016    -6.084472501587759e-05    -0.0001762937291565958    1.6062690539494773e-05    
Lambda        AB|PS|PS_i                6985.239635262244    All      -0.0006093144717703679     1.3550436599359145e-05    -0.0009162990522475204    0.00016199737401036376    
Lambda        AB|PS|PS_z                8027.74478706333     All      -5.834750700558312e-05     0.00010590049677686742    0.0005285225169638972     7.708651094674413e-05     
MWEBV         All|All|All               All                  All      -0.6052184070574693        -3.798063551863251        0.03834513338679832       -1.038303537958238        
Redshift      All|All|All               All                  All      3.0401870610142936         0.8072055946161782        -0.8176606530686098       -0.7638439660809494       
