#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4696.039424027782     All      0.34327943053597476        0.548070723159988          2.2188005151553445         0.16572213785025908       
Zeropoint     AB|PS|PS_z                6536.808885208405     All      0.7755992691795638         0.03399219835031886        1.1129700842275547         -0.1918990779446482       
Zeropoint     AB|PS|PS_i                5687.920795224445     All      0.6311025911104471         0.08320893991875522        -2.855095058256185         -0.3058767668315275       
Zeropoint     AB|PS|PS_g                3697.8665016420623    All      -0.7548481094770736        0.33250812360101634        -0.47992331422301304       0.33277092476532155       
Check         All|All|All               All                   All      0.9951331813489124         0.9977799850300784         -0.003247773096298756      0.0007172178394049267     
Lambda        AB|PS|PS_r                4696.039424027782     All      -6.28177007437449e-05      -1.645078266846772e-05     -0.00021334566844306624    5.582593322012083e-06     
Lambda        AB|PS|PS_z                6536.808885208405     All      -0.00035908223868725176    -2.729241599455706e-05     -0.0008806105248353839     6.87772575863997e-05      
Lambda        AB|PS|PS_i                5687.920795224445     All      -7.572009925707493e-05     -1.4079649799362166e-05    0.0001475607265849321      2.6663279804510902e-05    
Lambda        AB|PS|PS_g                3697.8665016420623    All      -0.0012502502652023955     0.0005411844585945607      -0.001093824716931819      0.0005347168526310414     
MWEBV         All|All|All               All                   All      -0.49078872745773294       -2.8036635266603938        -0.014830387740277784      -0.7540412255124036       
Redshift      All|All|All               All                   All      5.404489679997297          -0.03659035665428689       -2.012714589615022         -1.8621569822243784       
