#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4696.039424027782     All      0.40196813075978655        0.5065211507723433         2.096429635368905         0.1276103843837449         
Zeropoint     AB|PS|PS_z                6536.808885208405     All      0.751935075285091          0.044769113283038564       1.1561990329300322        -0.17875136628359545       
Zeropoint     AB|PS|PS_i                5687.920795224445     All      0.7201147971788826         0.08935080544105745        -2.644309203312201        -0.3234639584988915        
Zeropoint     AB|PS|PS_g                3697.8665016420623    All      -0.8786016765515008        0.35752287402459615        -0.6106076110614432       0.3753978201500584         
Check         All|All|All               All                   All      0.9954163266722593         0.9981639435210354         -0.0022881460747067317    0.0007928797513163666      
Lambda        AB|PS|PS_r                4696.039424027782     All      -7.953326431459866e-05     -6.203561181736786e-05     -0.0005827542272582899    -2.0306083595164467e-05    
Lambda        AB|PS|PS_z                6536.808885208405     All      -0.0003652432223680611     -3.08638921207209e-05      -0.0009380170354428305    6.705895647937213e-05      
Lambda        AB|PS|PS_i                5687.920795224445     All      -0.00012649372303430087    -1.7754726878109074e-05    0.00026429532584479364    4.7214154982712874e-05     
Lambda        AB|PS|PS_g                3697.8665016420623    All      -0.0012896864796781973     0.0005182615460664846      -0.0011513893530315312    0.0005375269330225935      
MWEBV         All|All|All               All                   All      -0.5038628545354848        -2.8027235395974515        -0.06095885558824198      -0.7515348691457836        
Redshift      All|All|All               All                   All      5.994904401051158          0.20199903590594204        -0.2500451456538255       -1.8980982247882054        
