#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3540.3549248657387    All      -0.3062236005083638        0.10966157152090261       -0.06292600817955729       0.1326593840093378         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4732.49129296575      All      -0.3196754899682111        0.47959000098138915       0.07781619616938941        0.26381964489407383        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5292.095810455144     All      0.6054039231103152         0.22185392512952262       -0.02012509968426318       -0.12583294353014224       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7489.958805621022     All      0.36067196334315005        -0.04787388468630027      0.14234932080167784        -0.12672442706176562       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6125.988368100157     All      1.0756543783429442         -0.048250043571052004     -0.07508134398932972       -0.3694431811206953        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4332.171279507473     All      -0.4222952376980524        0.2831599491548431        -0.06243856909402463       0.22700361657557463        
Check         All|All|All                              All                   All      0.9935359366217823         0.9981415185293052        -0.0004055039761075921     0.0014820937663831135      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3540.3549248657387    All      -0.0004477966629402607     0.000123930892249393      -3.0308151145029176e-05    0.0001848779604178452      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4732.49129296575      All      -0.00016641505534803702    -7.632343463569824e-05    -0.0008157830303457851     -7.0588450961022e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5292.095810455144     All      8.596698243709772e-05      3.6072524448464396e-05    -0.0009606528246017208     -5.9121789888947583e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7489.958805621022     All      -7.882339080468332e-05     1.9892564225700488e-06    -0.0002674727952461645     1.4387255465318836e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6125.988368100157     All      -0.00023140525210791772    -1.24309565021554e-05     -0.0006061986143906812     4.427527212841661e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4332.171279507473     All      -0.00018708264749413202    7.225542411442258e-05     -0.0003126308141234312     7.052366451910245e-05      
MWEBV         All|All|All                              All                   All      -1.0633868511786595        -3.9589335475688436       -0.027463390499203724      -0.944400384654259         
Redshift      All|All|All                              All                   All      5.568476857488177          0.3463714001306073        6.489593274833089          -1.4114108073959077        
