#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3540.3549248657387    All      -0.33352516253274966       0.11695137132115008       -0.05245714151211889       0.1443941060152246         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4732.49129296575      All      -0.29002948177163457       0.4813305460487527        0.16689822186544134        0.2587052391582908         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5292.095810455144     All      0.6047977817184872         0.21590513285936197       -0.17578228622490144       -0.13451948601691752       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7489.958805621022     All      0.3475859648580627         -0.04954659547742324      0.12610264924466374        -0.12373175810715538       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6125.988368100157     All      1.0822294907026289         -0.05423062507317056      -0.016329615212407056      -0.37091116386315937       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4332.171279507473     All      -0.4175576126929018        0.28749981270141944       -0.04873760616597167       0.22748546363178607        
Check         All|All|All                              All                   All      0.9935009802818926         0.9979096423800904        -0.00030577800529396626    0.0014224008180692138      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3540.3549248657387    All      -0.0004525747164384856     0.00010051736717047718    -5.19245344661489e-05      0.00017784313432804571     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4732.49129296575      All      -0.00013462405255467818    -7.282877568145402e-05    -0.0008385611949279804     -1.7292380075540447e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5292.095810455144     All      8.660330038339859e-05      2.224306365110396e-05     -0.0011251789154639717     -7.117581372992141e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7489.958805621022     All      -6.009842405927583e-05     5.695811928807838e-07     -0.0001639322761154243     1.2446020659395275e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6125.988368100157     All      -0.00014119978755143767    -4.163193816091216e-07    -0.00020525976685817728    3.669800655057273e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4332.171279507473     All      -0.00019239604176011797    7.444024986007104e-05     -0.00033810630108182464    7.182922748272933e-05      
MWEBV         All|All|All                              All                   All      -1.07362986364984          -3.959777834961109        -0.023447625596872967      -0.9411597055433358        
Redshift      All|All|All                              All                   All      5.257445896632568          0.3526566697805933        7.520611397714716          -1.2620408681970876        
