#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4771.776205994446    All      0.22942177397344515       0.5645454611018508        1.0928719357109706         0.1579306652510777        
Zeropoint     AB|PS|PS_z                6642.233227849923    All      0.9194028461319469        -0.009994073699992612     1.1003565846440244         -0.2536312924220548       
Zeropoint     AB|PS|PS_g                3757.50495091566     All      -0.8307288847130849       0.386331766460124         -0.10841448162093315       0.3915986538081893        
Zeropoint     AB|PS|PS_i                5779.654441008468    All      0.6736452816205718        0.05907100228679241       -2.1076637196942416        -0.2942424133328634       
Check         All|All|All               All                  All      0.9917410170128791        0.9999541561487746        -0.022849680960179697      0.0016556133043488241     
Lambda        AB|PS|PS_r                4771.776205994446    All      -7.876662728422396e-06    -1.383020806985899e-05    -0.00047416993492807585    -2.309929199562964e-05    
Lambda        AB|PS|PS_z                6642.233227849923    All      -0.0007323795024398077    2.9610485143145627e-05    -0.000800918378969803      0.00021246389891338446    
Lambda        AB|PS|PS_g                3757.50495091566     All      -0.0014559237300739224    0.0005620622453681169     -0.0008963802459126584     0.0006173230885185685     
Lambda        AB|PS|PS_i                5779.654441008468    All      -0.0002276653811180785    -2.9992951543839e-06      0.0008449072438347383      0.00011088546526679275    
MWEBV         All|All|All               All                  All      -0.47536947294688625      -2.8797219477080915       -0.004533610104862085      -0.783379016073476        
Redshift      All|All|All               All                  All      6.299461707102205         0.2657166318945414        4.65231050076671           -1.7577780249519948       
