#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4771.776205994446    All      0.32435139691445347        0.5674236698343549         1.5173502783665342        0.14688901011599892        
Zeropoint     AB|PS|PS_z                6642.233227849923    All      0.8174416665549363         0.0008200044572248544      0.9258708276536579        -0.22468317873262553       
Zeropoint     AB|PS|PS_g                3757.50495091566     All      -0.8611180239635502        0.3713305954800461         -0.4794244625918703       0.38005454985944953        
Zeropoint     AB|PS|PS_i                5779.654441008468    All      0.7145770530417099         0.058879421270852106       -1.966452284518971        -0.3013360243485202        
Check         All|All|All               All                  All      0.9952520925475495         0.9984536910424779         -0.0026556410906493078    0.000924356894302758       
Lambda        AB|PS|PS_r                4771.776205994446    All      -4.841037908461567e-05     -1.4131007624264471e-05    -0.0005635667919904616    -1.3983478515420865e-05    
Lambda        AB|PS|PS_z                6642.233227849923    All      -0.0007759797775654712     5.6915479752184e-06        -0.0013657795461995226    0.00019366759860304724     
Lambda        AB|PS|PS_g                3757.50495091566     All      -0.0014163286988881267     0.000545490776640497       -0.001191220811829316     0.0005858704313706865      
Lambda        AB|PS|PS_i                5779.654441008468    All      -0.00017079533662570448    5.274596882751092e-06      0.0006780821780380875     8.761146315950279e-05      
MWEBV         All|All|All               All                  All      -0.47870877227138076       -2.8772130148286834        0.014749868875439102      -0.780613521342465         
Redshift      All|All|All               All                  All      6.3342625451381736         0.3059395766397799         5.969060013088705         -1.6972513832916094        
