#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3226.6577497502963    All      -0.13583068288385172      0.07527419857247253       0.0379360368282993        0.07045671612436523        
Zeropoint     AB|SDSS|SDSS_i            6723.291696567977     All      0.9558289933624363        0.023349400589545155      0.5535919613822271        -0.2790350143529401        
Zeropoint     AB|SDSS|SDSS_r            5544.183646973956     All      0.636090081791046         0.26000653118423145       -0.7338552770490347       -0.15525137575326786       
Zeropoint     AB|SDSS|SDSS_z            7993.433382682119     All      0.14745719118549597       -0.009270079613621363     0.04923705300994025       -0.048854004735099515      
Zeropoint     AB|SDSS|SDSS_g            4242.886021074296     All      -0.6116946339845413       0.6512702964114325        0.0962720475987716        0.41568540746482263        
Check         All|All|All               All                   All      0.9918509494705854        1.0006303471440603        0.003181821770203472      0.0030017287478804056      
Lambda        AB|SDSS|SDSS_u            3226.6577497502963    All      -8.86328156138152e-05     4.7346097346422e-05       1.4127465408130038e-05    4.492324942057036e-05      
Lambda        AB|SDSS|SDSS_i            6723.291696567977     All      -0.0005128044378207654    -3.708369195339275e-05    -0.000681221295940855     0.00012455811997507345     
Lambda        AB|SDSS|SDSS_r            5544.183646973956     All      3.3224493608845495e-05    -5.539936843775438e-06    -0.0010288842944460982    -5.854123087678711e-05     
Lambda        AB|SDSS|SDSS_z            7993.433382682119     All      4.291331650427992e-06     8.758999922297578e-07     2.018683856802957e-05     -2.1167256494403378e-07    
Lambda        AB|SDSS|SDSS_g            4242.886021074296     All      -0.0004098410705189933    0.0002923659898523723     -0.0004874406014603952    0.00020697970617957379     
MWEBV         All|All|All               All                   All      -0.8319695756860241       -3.4935115375498427       0.08174495386838276       -0.8633038772585832        
Redshift      All|All|All               All                   All      2.826091151127636         0.27616831136718645       -1.557555387960448        -0.9001003022511501        
