#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6029.796922195482     All      0.5364646360366437         0.04644037171264159        0.16121688984983562        -0.15242265485816767       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4264.146694045883     All      -0.2602397964211396        0.21342614875807797        0.015327783224550195       0.15497259005895145        
Zeropoint     AB|SDSS|SDSS_u                           3482.586776274012     All      -0.08177825007934172       0.03686186398068614        -0.019465949314745323      0.037776312379123045       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7372.350033944138     All      0.1886941574994577         -0.005751107899332197      0.13176165616151092        -0.05745730244451561       
Zeropoint     AB|SDSS|SDSS_z                           8627.449067912548     All      0.10974220280135404        -0.005815141387000011      0.0364463885849764         -0.03601439379550889       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4658.180805767937     All      -0.1571849549999313        0.37488393970912526        0.37559634913506557        0.19007348356370052        
Zeropoint     AB|SDSS|SDSS_r                           5983.932028638716     All      0.40007181070009723        0.015834897029787243       -0.307243773201904         -0.13886948227979506       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5208.99830564685      All      0.25750582271712613        0.21197187120405303        0.08246017893340785        -0.01115208697042222       
Zeropoint     AB|SDSS|SDSS_i                           7256.563469525858     All      0.15658826480832094        -0.014011116306011928      -0.05513298904811226       -0.058030163066424834      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3484.7635918798765    All      -0.10302268444318245       0.050520659205677276       0.010194266587459921       0.05046904174962272        
Zeropoint     AB|SDSS|SDSS_g                           4579.419292726258     All      -0.2022296615391838        0.12111777883463404        -0.49702511026520346       0.08314495122719381        
Check         All|All|All                              All                   All      0.8446115470802209         1.0454801648423384         -0.06586430935315857       0.062490295563757264       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6029.796922195482     All      -3.069877858775241e-05     -1.5655257358265065e-05    -0.00026980344928884185    -7.139918997747228e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4264.146694045883     All      -0.0002298106812893877     9.55143734977744e-05       -0.0003014371803888226     9.251731631071446e-05      
Lambda        AB|SDSS|SDSS_u                           3482.586776274012     All      -7.339733376405265e-05     2.6045799769991717e-05     -5.786912079741519e-05     2.9809467096025567e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7372.350033944138     All      -3.114717989753951e-05     -1.2480008175624105e-05    -0.00021595579418859283    -3.5566032840136186e-06    
Lambda        AB|SDSS|SDSS_z                           8627.449067912548     All      1.3963132822904696e-05     -2.100328664926699e-06     -6.600753311712584e-06     -5.526959182910755e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4658.180805767937     All      -0.00013428160593713032    -5.915865972182019e-06     -0.0004028588887549838     2.383520267280635e-05      
Lambda        AB|SDSS|SDSS_r                           5983.932028638716     All      -1.3051114001713652e-05    -1.3317627295407322e-06    -6.939431656153784e-05     7.206286329779269e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5208.99830564685      All      1.571303198110961e-05      6.472911078187563e-05      -0.00062044841129497       -1.1721613533109081e-05    
Lambda        AB|SDSS|SDSS_i                           7256.563469525858     All      -6.2044554370739626e-06    -2.001138219816366e-05     -0.00023837359554837868    -1.5134889039484554e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3484.7635918798765    All      -0.00026563264509125897    9.245542413083737e-05      -0.00023407642987724892    0.00010619530890192616     
Lambda        AB|SDSS|SDSS_g                           4579.419292726258     All      -0.0001318993379091169     5.4772102432095605e-05     -0.0003976725935542851     4.305872802093663e-05      
MWEBV         All|All|All                              All                   All      -1.0087365140077496        -3.8414040349207923        0.029964148952199565       -0.9213558412073587        
Redshift      All|All|All                              All                   All      4.8140012036030475         0.6183241014912966         9.26585360765234           -0.9531775758512641        
