#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6029.796922195482     All      0.5900963997493598         0.02790117767288436        0.16380286095689905        -0.17581571013856034       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4264.146694045883     All      -0.2680104673853554        0.20585375201083167        0.003621208114697083       0.1545147638136484         
Zeropoint     AB|SDSS|SDSS_u                           3482.586776274012     All      -0.11346850699305777       0.05162675088721258        -0.04185786501997892       0.05190903269463624        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7372.350033944138     All      0.22187547714506028        -0.01625131674432012       0.1416905984780139         -0.07124273025989984       
Zeropoint     AB|SDSS|SDSS_z                           8627.449067912548     All      0.1370576083565348         -0.013707350487823788      0.054929540536393096       -0.04665785400354161       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4658.180805767937     All      -0.18927032717650227       0.3580563254507396         0.2961317979614019         0.1914972993315811         
Zeropoint     AB|SDSS|SDSS_r                           5983.932028638716     All      0.47810544689617146        0.0036444713477301605      -0.3280501685239705        -0.16918692137987792       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5208.99830564685      All      0.26630339349935445        0.20068616238964054        0.10779371639874644        -0.016563352430972518      
Zeropoint     AB|SDSS|SDSS_i                           7256.563469525858     All      0.2023311951149212         -0.023576000802183472      -0.023983460119493177      -0.07465567750927532       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3484.7635918798765    All      -0.12814285097267375       0.06483004658113245        0.020587533216786823       0.06377634840537655        
Zeropoint     AB|SDSS|SDSS_g                           4579.419292726258     All      -0.2019017759115649        0.1380652089157941         -0.3940033339659771        0.09315587233681438        
Check         All|All|All                              All                   All      0.9949755923222477         0.9971292272216381         0.000662428033518625       0.0007310708599291282      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6029.796922195482     All      -7.532376349491564e-05     -2.299909488279128e-05     -0.00037227771584909383    4.308213487943045e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4264.146694045883     All      -0.0001953534832652597     8.081422949036912e-05      -0.000287371804355946      7.713282591493949e-05      
Lambda        AB|SDSS|SDSS_u                           3482.586776274012     All      -6.664053597103968e-05     2.8142278950028176e-05     1.1312459224759686e-05     3.137870418073614e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7372.350033944138     All      -4.0927954159295374e-05    -1.5129487690317624e-05    -0.00026332724149126345    -3.347676096197181e-06     
Lambda        AB|SDSS|SDSS_z                           8627.449067912548     All      1.6624395529490174e-05     -4.474918928004369e-06     -9.970208485082764e-06     -7.3176654788113625e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4658.180805767937     All      -0.0001099987103946899     -4.8579250981929884e-05    -0.0005556365909989253     -4.7891705387924335e-06    
Lambda        AB|SDSS|SDSS_r                           5983.932028638716     All      -3.949631356338262e-05     -2.0515573663399475e-06    -8.776076863915692e-05     8.28062895553035e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5208.99830564685      All      6.30973761409145e-05       4.424760977400747e-05      -0.0006204749941313224     -3.382893829410365e-05     
Lambda        AB|SDSS|SDSS_i                           7256.563469525858     All      -1.2909060074562344e-05    -2.323152842028456e-05     -0.0002701530924156833     -1.5418059285560534e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3484.7635918798765    All      -0.00023638244377337575    8.492802425025705e-05      -7.591153560205504e-05     0.0001012738070508636      
Lambda        AB|SDSS|SDSS_g                           4579.419292726258     All      -0.00010961780665305824    5.1867449891645554e-05     -0.00029542646219792886    3.941753460051711e-05      
MWEBV         All|All|All                              All                   All      -0.957470992437135         -3.8730180255268642        0.016055416115830782       -0.9489731078442541        
Redshift      All|All|All                              All                   All      5.406527650300822          0.7970729812363686         10.035621921109026         -1.053607317873784         
