#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3715.193264270676    All      -0.7411515819288781        0.5052533210289312         0.4516750059838981         0.4261512634454734         
Zeropoint     AB|PS|PS_i                5714.57217742698     All      2.0491793165340835         0.529934928521314          1.6285129388268509         -0.42219482586107193       
Zeropoint     AB|PS|PS_z                6567.437826478276    All      0.12779292906304188        -0.059636526096440434      -0.2860112439109136        -0.07381530800497638       
Zeropoint     AB|PS|PS_r                4718.043236322955    All      -0.4595649461703737        0.02062648714087345        -1.8245161751265948        0.0749943704621836         
Check         All|All|All               All                  All      0.9762557174978735         0.9961782105946781         -0.03033947422675909       0.005135500041608676       
Lambda        AB|PS|PS_g                3715.193264270676    All      -0.0008668987473110248     0.0003678013008330568      -0.00047010788076796354    0.0003812036705142901      
Lambda        AB|PS|PS_i                5714.57217742698     All      -0.0015253266564105924     -0.000674297125131037      -0.0029619239480040515     0.0001450312542029317      
Lambda        AB|PS|PS_z                6567.437826478276    All      -0.00019112872512270157    -2.3384910449243555e-05    -0.0002861682782385015     4.186930311230727e-05      
Lambda        AB|PS|PS_r                4718.043236322955    All      -0.00014641024274450535    -0.00011086969620014267    -0.0008430336150602482     -2.6043993068042784e-05    
MWEBV         All|All|All               All                  All      -0.49726553756437797       -2.78303081630753          0.13253609868645322        -0.738634473362576         
Redshift      All|All|All               All                  All      8.148968917605462          3.2401260741881543         9.430621866706382          -1.1781262696021282        
