#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3715.193264270676    All      -0.7031736840359977        0.5020223471852603         0.39824232034815904        0.41034372283679343       
Zeropoint     AB|PS|PS_i                5714.57217742698     All      1.9654652943979305         0.5292044210557734         1.4376535761959839         -0.40368154182518157      
Zeropoint     AB|PS|PS_z                6567.437826478276    All      0.21331927971891096        -0.08189024905504994       -0.24245108135153493       -0.10697893384987661      
Zeropoint     AB|PS|PS_r                4718.043236322955    All      -0.47201079656277267       0.05150507201889809        -1.5738545377448565        0.10029244199043173       
Check         All|All|All               All                  All      1.0036000935180711         1.0008415912048818         0.019590277447751436       -2.431084783301174e-05    
Lambda        AB|PS|PS_g                3715.193264270676    All      -0.0011462895024129693     0.0006404454090662133      -0.00015028612547252952    0.0005752917629607316     
Lambda        AB|PS|PS_i                5714.57217742698     All      -0.001105353944156348      -0.0005748485463903381     -0.0025433871771751945     5.930337279902549e-05     
Lambda        AB|PS|PS_z                6567.437826478276    All      -0.00012834067514570964    2.3284873997864166e-05     1.753560685530956e-05      5.0171963284283785e-05    
Lambda        AB|PS|PS_r                4718.043236322955    All      -0.000208745918785512      -2.4318780231563426e-05    -0.0007643161264885169     2.5966068151472884e-05    
MWEBV         All|All|All               All                  All      -0.46910305994134704       -2.801533809620338         0.10286692071776818        -0.7551589516419078       
Redshift      All|All|All               All                  All      9.033356677157848          2.69135681830015           13.477736092101921         -1.4643485388403046       
