#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6441.833752406267     All      1.006938878948465          0.07209507063077325        1.4158515774550529         -0.24132643068610737      
Zeropoint     AB|PS|PS_i                5605.279395975818     All      0.6524173986707857         0.17648565964325513        -2.086020944029069         -0.24811615907476         
Zeropoint     AB|PS|PS_g                3644.1391603283605    All      -0.6867259944498192        0.3676210416777792         -0.25477190005680694       0.3320662168794189        
Zeropoint     AB|PS|PS_r                4627.809347889202     All      0.02123215772086845        0.3823745225455255         0.918261319026972          0.15861373470076623       
Check         All|All|All               All                   All      0.9938624408903001         0.9985762944973331         -0.006679947603851266      0.0012373618193177172     
Lambda        AB|PS|PS_z                6441.833752406267     All      2.514634387714585e-05      -1.8560542287821573e-06    -2.1668065506421796e-05    -9.762515661338044e-06    
Lambda        AB|PS|PS_i                5605.279395975818     All      -6.328418082091622e-07     7.782178769724153e-06      0.00040956272956161184     2.1017952614942718e-05    
Lambda        AB|PS|PS_g                3644.1391603283605    All      -0.001329367233478383      0.000502086106439113       -0.0025179970845973917     0.00048419796069304667    
Lambda        AB|PS|PS_r                4627.809347889202     All      -4.7090000183257826e-05    -0.00010883448154579183    -0.0006364079623672793     -4.851217335728055e-05    
MWEBV         All|All|All               All                   All      -0.4611821606612745        -2.728972329778223         0.11499175011937476        -0.7335623124920504       
Redshift      All|All|All               All                   All      5.2463729074172365         -0.14707051452340636       -2.7276850279248857        -1.8785460165362713       
