#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6441.833752406267     All      0.9782971983100193         0.06992440646094167       1.2703893751265127        -0.23919525975789752       
Zeropoint     AB|PS|PS_i                5605.279395975818     All      0.6429134697474521         0.19795937255775442       -1.9799457076664861       -0.23329207138110958       
Zeropoint     AB|PS|PS_g                3644.1391603283605    All      -0.6443591450467503        0.33635335005293143       -0.2554674873743945       0.3080499834949152         
Zeropoint     AB|PS|PS_r                4627.809347889202     All      0.020272794248120896       0.39549999855470475       0.9750905286479483        0.1657376569157501         
Check         All|All|All               All                   All      0.9971243172588422         0.9997371276263323        0.010066708733580398      0.0013003092716581954      
Lambda        AB|PS|PS_z                6441.833752406267     All      0.00039165362234289255     3.135631000635521e-05     0.0005906311666932521     -9.100353175881491e-05     
Lambda        AB|PS|PS_i                5605.279395975818     All      -0.00010877956593707885    -3.134888829733205e-05    0.0005067135167725668     4.783401610344901e-05      
Lambda        AB|PS|PS_g                3644.1391603283605    All      -0.0011477571436137534     0.0004533795910254985     -0.0020656927077763606    0.0004293605321413324      
Lambda        AB|PS|PS_r                4627.809347889202     All      -6.71914636960846e-05      -0.0001321785394578421    -0.00064313571787222      -4.9868621860016834e-05    
MWEBV         All|All|All               All                   All      -0.47470318752617047       -2.7256648352420143       0.06640566521354252       -0.7302488832513317        
Redshift      All|All|All               All                   All      3.502210279329346          -0.3897457725223319       -11.150934128028078       -1.7653531033848617        
