#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3022.373862408992     All      -0.05767679092577614       0.02210350596261179       0.08396156155097893       0.02973388626087038       
Zeropoint     AB|SDSS|SDSS_i            6297.631378670701     All      0.9638682295543607         0.03469988142388303       -0.054334106188710096     -0.3050853813284466       
Zeropoint     AB|SDSS|SDSS_r            5193.174189083487     All      0.9475802274595942         0.3763975343437309        0.12806372556641638       -0.18033809860366914      
Zeropoint     AB|SDSS|SDSS_g            3974.2634037551175    All      -0.9529453225290743        0.5608582021375597        -0.3564926756607845       0.477186979837494         
Zeropoint     AB|SDSS|SDSS_z            7487.358747172846     All      0.09242915546053716        0.005749801520238407      0.20564408060998432       -0.01905736641587326      
Check         All|All|All               All                   All      0.9932554990196417         0.9998089253880238        0.006842585877885027      0.002440019750375319      
Lambda        AB|SDSS|SDSS_u            3022.373862408992     All      -6.479582067749461e-05     2.624962309616042e-05     0.00011632878106961436    3.484771556358052e-05     
Lambda        AB|SDSS|SDSS_i            6297.631378670701     All      -0.0002594729493144328     -6.724014105768074e-06    -6.132113235232095e-05    7.959216289133445e-05     
Lambda        AB|SDSS|SDSS_r            5193.174189083487     All      0.0003273912372358488      0.00010502100686733295    0.00021617147345928849    -6.278655977348319e-05    
Lambda        AB|SDSS|SDSS_g            3974.2634037551175    All      -0.0009409148686176764     0.0003983850741457694     -0.0016703373181081271    0.00036171457009206265    
Lambda        AB|SDSS|SDSS_z            7487.358747172846     All      -1.4589628992351871e-05    -6.562159665101199e-07    -2.742424508099001e-05    3.314752915226749e-06     
MWEBV         All|All|All               All                   All      -0.6815902684212922        -3.2287078811286563       0.2795730292505054        -0.8172039438762362       
Redshift      All|All|All               All                   All      4.67756420229787           -0.3208872611615732       -5.994249553012003        -1.8956559127759245       
