#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3022.373862408992     All      -0.017806346189101478      0.00596930582563715        -0.0005092001962969661    0.007721788790829298       
Zeropoint     AB|SDSS|SDSS_i            6297.631378670701     All      1.2371174805180702         -0.04306275315322239       -0.5814887445163563       -0.4429459907719979        
Zeropoint     AB|SDSS|SDSS_r            5193.174189083487     All      0.678890199275668          0.3425402068076622         -0.05913878652477056      -0.11219935056087926       
Zeropoint     AB|SDSS|SDSS_g            3974.2634037551175    All      -1.0163018454440524        0.6935638260340937         0.4814874309696515        0.578446074762537          
Zeropoint     AB|SDSS|SDSS_z            7487.358747172846     All      0.11618255139365184        -6.211298497760254e-06     0.1706516780530576        -0.030231101888886225      
Check         All|All|All               All                   All      0.9980820395542362         0.9990043742156729         0.011002377785285233      0.0007914203316028434      
Lambda        AB|SDSS|SDSS_u            3022.373862408992     All      -1.5967061429407196e-05    3.887098363598728e-06      -6.696450117821413e-06    6.1683212139623426e-06     
Lambda        AB|SDSS|SDSS_i            6297.631378670701     All      -3.357878049742542e-05     -1.1041104471867424e-05    -0.0005532916291857408    -1.7349601684979966e-05    
Lambda        AB|SDSS|SDSS_r            5193.174189083487     All      0.00038273138939432037     0.00013339423744614912     -0.0009752043083685223    -0.00012473620266926998    
Lambda        AB|SDSS|SDSS_g            3974.2634037551175    All      -0.001376191398540698      0.0007821404475213524      -0.0006435118266917498    0.0006743227119886908      
Lambda        AB|SDSS|SDSS_z            7487.358747172846     All      -2.206242491112148e-05     -2.497861915522396e-06     -8.124868792382704e-05    2.7470660423566057e-06     
MWEBV         All|All|All               All                   All      -0.5511857591872871        -3.280814348991967         0.1486271902823022        -0.8824972849302948        
Redshift      All|All|All               All                   All      4.21272849326753           -1.3296375500939206        -3.4274934196799167       -1.9582842481620844        
