#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                7125.314637582858     All      0.43927085334783644        -0.06452952705888748       -0.024038305632578805      -0.16517707761510986       
Zeropoint     AB|PS|PS_r                5118.821589293649     All      0.1862100837150018         0.6675929816568171         1.012165540216342          0.20197054623825872        
Zeropoint     AB|PS|PS_g                4030.7836399499492    All      -0.8155731272538908        0.5031787049498249         -0.37436383674993023       0.4128547187521092         
Zeropoint     AB|PS|PS_i                6200.001562128057     All      1.1877420789062914         -0.1100300322820047        -0.6240148089881103        -0.4505739869770903        
Check         All|All|All               All                   All      0.9976498887152387         0.9962121272657498         -0.010251411154277301      -0.0009257996018322001     
Lambda        AB|PS|PS_z                7125.314637582858     All      -0.00020866489587128363    4.952748890607775e-05      0.00014522398567894232     9.058243349035065e-05      
Lambda        AB|PS|PS_r                5118.821589293649     All      -1.2123979339037646e-05    -5.5879779593505025e-05    -0.0005515191205406245     -3.8864468979978156e-05    
Lambda        AB|PS|PS_g                4030.7836399499492    All      -0.0006378236799457558     0.000296073059089332       -0.0008817206972864426     0.0002648537470706336      
Lambda        AB|PS|PS_i                6200.001562128057     All      -0.00017457418055915732    -2.274276686877304e-05     -0.00030052701641459015    3.604534607217767e-05      
MWEBV         All|All|All               All                   All      -0.5243221106444942        -3.192203302157992         0.05248215462422268        -0.8666746372410356        
Redshift      All|All|All               All                   All      6.975612286286709          -0.34893406418827766       -3.908026432546291         -2.560242987535449         
