#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                7125.314637582858     All      0.4612961472641837         -0.06571642566566283      0.028301663483677037       -0.1704023599454667        
Zeropoint     AB|PS|PS_r                5118.821589293649     All      0.12983082119895528        0.6653805389239764        0.8342015021999634         0.21167274381967954        
Zeropoint     AB|PS|PS_g                4030.7836399499492    All      -0.7984795088239596        0.49033258297050963       -0.43510227065530205       0.4003918829689553         
Zeropoint     AB|PS|PS_i                6200.001562128057     All      1.20299681775523           -0.09086037233085875      -0.42564359022501946       -0.4404463719696796        
Check         All|All|All               All                   All      0.9956442773944094         0.9991363238979645        0.001757304803318871       0.001215894873488499       
Lambda        AB|PS|PS_z                7125.314637582858     All      -0.00021951426416506366    4.623048063911567e-05     9.859157664540422e-05      9.096149537609111e-05      
Lambda        AB|PS|PS_r                5118.821589293649     All      -5.4527544905858135e-06    7.011635277807291e-07     -0.00037603576480854856    -1.4776215557135052e-05    
Lambda        AB|PS|PS_g                4030.7836399499492    All      -0.0006912579955974522     0.00035053562945375633    -0.0008381259551655594     0.00030194474566564393     
Lambda        AB|PS|PS_i                6200.001562128057     All      -0.00019555907282081165    -4.759646863827645e-05    -0.0005167666847853801     2.5135364288904922e-05     
MWEBV         All|All|All               All                   All      -0.5214243105575309        -3.1942727447939134       0.05130633984364807        -0.868345102826646         
Redshift      All|All|All               All                   All      6.839355726687418          -0.5605117446370045       -3.303361086362611         -2.5577941173146908        
