#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3227.6467967638478    All      -0.11272805260215828      0.07243408518213812        0.11274014768402753       0.0653444749241069        
Zeropoint     AB|SDSS|SDSS_z            7995.883559313273     All      0.1428109498791208        -0.009706599439773811      0.09926804384179529       -0.04525010661647188      
Zeropoint     AB|SDSS|SDSS_i            6725.35254469302      All      0.8814366908672518        -0.02014209708036674       0.4645078866264125        -0.2729450187230619       
Zeropoint     AB|SDSS|SDSS_g            4244.186566119183     All      -0.7402467099019272       0.6390538510018473         -0.16664376511523518      0.44184702445699914       
Zeropoint     AB|SDSS|SDSS_r            5545.883070558327     All      0.8219241047939085        0.31911270007505266        -0.5034261435085894       -0.18624781315294223      
Check         All|All|All               All                   All      0.9931969830361957        1.0007519397388975         0.006446169528410817      0.002748560888629986      
Lambda        AB|SDSS|SDSS_u            3227.6467967638478    All      -7.858384851037964e-05    5.090561414761109e-05      8.815755347885754e-05     4.611304478325545e-05     
Lambda        AB|SDSS|SDSS_z            7995.883559313273     All      1.5082083168793113e-05    -7.021555608877101e-09     3.429598502632658e-05     -3.384545529575e-06       
Lambda        AB|SDSS|SDSS_i            6725.35254469302      All      -0.0005109332149248037    -6.807526099404967e-06     -0.0006511815621348472    0.00013515107974362367    
Lambda        AB|SDSS|SDSS_g            4244.186566119183     All      -0.00055456910167016      0.0002928084094306518      -0.0009306569648358783    0.00023448778726980343    
Lambda        AB|SDSS|SDSS_r            5545.883070558327     All      3.7028369977011496e-05    -1.7895959632617596e-05    -0.0009676132661661027    -6.10707970926336e-05     
MWEBV         All|All|All               All                   All      -0.7992591068335022       -3.501417869345147         0.190835100813338         -0.8716659132573998       
Redshift      All|All|All               All                   All      2.812148752595301         0.2895410090289374         -2.1888092604250042       -0.919372837864687        
