#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3227.6467967638478    All      -0.10093316641076017      0.0642011458534597         0.12545681785709473       0.05938823984059996        
Zeropoint     AB|SDSS|SDSS_z            7995.883559313273     All      0.12824067989003948       -0.0022790351975388035     0.12236207250575504       -0.03705410786784685       
Zeropoint     AB|SDSS|SDSS_i            6725.35254469302      All      0.824027627938652         -0.003508217236358746      0.4232434118966566        -0.2506682403078726        
Zeropoint     AB|SDSS|SDSS_g            4244.186566119183     All      -0.7265677673209272       0.6286119103869225         -0.19668235301519843      0.432649575030869          
Zeropoint     AB|SDSS|SDSS_r            5545.883070558327     All      0.868772079342805         0.3135966417104896         -0.4673321891184745       -0.2016937939874744        
Check         All|All|All               All                   All      0.9935394534398091        1.0006224455169743         0.007047760125833413      0.002621672708275097       
Lambda        AB|SDSS|SDSS_u            3227.6467967638478    All      -4.634454411295527e-05    3.754236952067379e-05      0.00011234482875434206    3.2338161294128316e-05     
Lambda        AB|SDSS|SDSS_z            7995.883559313273     All      1.792992060438689e-05     8.006742948425935e-07      4.2923171982137294e-05    -3.6640950319190507e-06    
Lambda        AB|SDSS|SDSS_i            6725.35254469302      All      -0.0005080174087712739    -2.0627019302979297e-05    -0.0006993376868543366    0.0001275508554948699      
Lambda        AB|SDSS|SDSS_g            4244.186566119183     All      -0.000490934969545264     0.00019274011665987466     -0.0009992651757558414    0.00017810285248423077     
Lambda        AB|SDSS|SDSS_r            5545.883070558327     All      -1.912751118509341e-06    -2.9333061202246347e-05    -0.0011485193829203206    -6.018484219668435e-05     
MWEBV         All|All|All               All                   All      -0.8301407331652686       -3.4859381236389098        0.18833739766761504       -0.8566759501606444        
Redshift      All|All|All               All                   All      3.065868485572053         0.5792298359263981         -0.870505950938183        -0.8488266986723731        
