#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4094.5566821051966    All      -0.712083708990915         0.5710293066155003        -0.10371829680639877       0.4133236511218042         
Zeropoint     AB|SDSS|SDSS_u            3113.855282579896     All      -0.07517725843161213       0.045069026123556455      0.13420644636719103        0.04515718817833022        
Zeropoint     AB|SDSS|SDSS_i            6488.248518859456     All      0.8856563700755816         0.031332853215104706      0.3411603604639435         -0.2630568558556732        
Zeropoint     AB|SDSS|SDSS_r            5350.361543011164     All      0.7675147489767343         0.3461884018566508        -0.5724174450466801        -0.1627842140363123        
Zeropoint     AB|SDSS|SDSS_z            7713.986637269298     All      0.12738020860723825        0.006692363477434071      0.21059668170866352        -0.029914039001862312      
Check         All|All|All               All                   All      0.9932903602370269         1.0003119512882463        0.009827746686719152       0.002725730406286604       
Lambda        AB|SDSS|SDSS_g            4094.5566821051966    All      -0.0006536077047643676     0.00029064751543240314    -0.0015921469272696925     0.00023652478539440487     
Lambda        AB|SDSS|SDSS_u            3113.855282579896     All      -5.9975686214843704e-05    4.104455788904454e-05     0.00014718561713141933     3.947383506543736e-05      
Lambda        AB|SDSS|SDSS_i            6488.248518859456     All      -0.00034368810414394497    -2.2070183188521e-05      -0.00030473579517521467    9.116257883270996e-05      
Lambda        AB|SDSS|SDSS_r            5350.361543011164     All      0.00022705071124832208     0.00010707568175088769    -0.00031073161624199484    -5.2946339062732146e-05    
Lambda        AB|SDSS|SDSS_z            7713.986637269298     All      1.8688063504116124e-06     1.827078796201719e-06     3.2839683229324315e-05     1.4518921981132046e-06     
MWEBV         All|All|All               All                   All      -0.7907727522211165        -3.31821893636679         0.2857426503344751         -0.810520990569984         
Redshift      All|All|All               All                   All      6.038485056239761          -0.3150072398245385       6.036801066022202          -1.8001467589639275        
