#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6215.290074939487    All      1.118188518292995          -0.007584944829730489      -0.23507690142627644       -0.37719185622740237      
Zeropoint     AB|PS|PS_z                7142.884869304665    All      0.5725494483460674         -0.028476518235365234      0.641070075169858          -0.16716591735607883      
Zeropoint     AB|PS|PS_g                4040.72310314233     All      -0.7265907598022129        0.5953017738416833         0.2775230483819862         0.44296846621245217       
Zeropoint     AB|PS|PS_r                5131.4440327984      All      0.03228718427473992        0.4394772920303325         -0.6815775557578988        0.10221953831164834       
Check         All|All|All               All                  All      0.9964343911115895         0.99871760280692           0.0019386663676689286      0.0008302309406192643     
Lambda        AB|PS|PS_i                6215.290074939487    All      -0.00020856259839102114    -4.2640312769945426e-05    -0.0009490931992333824     1.1692676653453522e-05    
Lambda        AB|PS|PS_z                7142.884869304665    All      -0.00020791749109361912    1.2714943586982876e-07     -0.00044436725713796796    4.793691410475157e-05     
Lambda        AB|PS|PS_g                4040.72310314233     All      -0.00047996304868763473    0.00038029735161059435     -8.094399317388474e-05     0.00027660295545062116    
Lambda        AB|PS|PS_r                5131.4440327984      All      -0.00016980326102251748    -2.3496658054424452e-05    -0.001734576092165082      -2.974929044251571e-05    
MWEBV         All|All|All               All                  All      -0.5224470637560592        -3.2054578157381997        0.059878404009426796       -0.8712727721931105       
Redshift      All|All|All               All                  All      5.998594462996849          -0.29340126658645715       2.0702075285262174         -1.9571261557573987       
