#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                6215.290074939487    All      1.0817933691792054         -0.03327270186215259       -0.531995081305281         -0.3869542010358898        
Zeropoint     AB|PS|PS_z                7142.884869304665    All      0.537663607810943          -0.01728725412561971       0.7274318748097308         -0.14830380947479793       
Zeropoint     AB|PS|PS_g                4040.72310314233     All      -0.6733221081572504        0.583604994324638          0.6370466124311469         0.43785097341529494        
Zeropoint     AB|PS|PS_r                5131.4440327984      All      0.06206898822770712        0.4633059522031857         -0.806071605093267         0.09472480588850196        
Check         All|All|All               All                  All      1.0082038570606051         0.9963509905400514         0.026411800842329747       -0.0026822312068907617     
Lambda        AB|PS|PS_i                6215.290074939487    All      -0.0003055901588243029     -5.1328795545006696e-05    -0.0011362914551830692     3.2113822123523036e-05     
Lambda        AB|PS|PS_z                7142.884869304665    All      -0.00018393796522455698    -6.298910889394117e-06     -0.00046317833153798474    3.7193362512853084e-05     
Lambda        AB|PS|PS_g                4040.72310314233     All      -0.00041083055615081425    0.0003172326469401605      -9.791292305077445e-05     0.0002327847337566836      
Lambda        AB|PS|PS_r                5131.4440327984      All      -0.00025938237923321683    -8.671130374080854e-05     -0.002361701896106419      -4.9147258721228397e-05    
MWEBV         All|All|All               All                  All      -0.5201988051102915        -3.2041898655151613        0.0663664375324391         -0.8713025597599108        
Redshift      All|All|All               All                  All      6.0390737617966455         0.08940713021008406        2.7428834115201584         -1.8155998710776222        
