#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3720.8172322759297    All      -0.71394450464456          0.40515556267237685       0.07060531698953043       0.367678500242509          
Zeropoint     AB|PS|PS_z                6577.379452010336     All      0.8647704531714743         0.08718961574007977       2.326847609615051         -0.1494471384085122        
Zeropoint     AB|PS|PS_r                4725.185293901403     All      0.19765467965007688        0.42959887775957384       1.451229242672164         0.14031355190735617        
Zeropoint     AB|PS|PS_i                5723.2227559577495    All      0.6457377173629909         0.07729506680504983       -3.846120893163385        -0.35679518336199506       
Check         All|All|All               All                   All      0.994218345539982          0.9992391229770803        0.0025612761133606554     0.0017497303793578833      
Lambda        AB|PS|PS_g                3720.8172322759297    All      -0.0010748036343948097     0.0005280808807216631     -0.000754012432241283     0.0004884641081105593      
Lambda        AB|PS|PS_z                6577.379452010336     All      -0.0005849044046101587     -4.809042058673623e-05    -0.0015422102581714929    0.0001060362145452534      
Lambda        AB|PS|PS_r                4725.185293901403     All      -0.00011045904866774944    -4.86154397097863e-05     -0.0007440462079611761    -1.3058866948768075e-05    
Lambda        AB|PS|PS_i                5723.2227559577495    All      -0.00021877306596122768    -1.58561018885616e-05     0.0009989487641535047     0.00011067522630674146     
MWEBV         All|All|All               All                   All      -0.4880462278160831        -2.818791721829328        0.07397172267820107       -0.7558994684059711        
Redshift      All|All|All               All                   All      5.773748412605127          0.43579779214084624       0.0015832480827426831     -1.738675477354054         
