#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3720.8172322759297    All      -0.739551415321257        0.4367653787815229        0.1419714952121167        0.38950061529213026        
Zeropoint     AB|PS|PS_z                6577.379452010336     All      0.9430933540763596        0.10059631365280097       2.7501291699889454        -0.15170336942510526       
Zeropoint     AB|PS|PS_r                4725.185293901403     All      0.12674620731312197       0.39421426339050214       1.1094160495434686        0.1366312882295881         
Zeropoint     AB|PS|PS_i                5723.2227559577495    All      0.6649291469706535        0.06782004365106786       -3.992392841640645        -0.3726602353825258        
Check         All|All|All               All                   All      0.9952172930388783        0.9993959994758939        0.009123873103885849      0.0017682987140872908      
Lambda        AB|PS|PS_g                3720.8172322759297    All      -0.0012023019467265364    0.0006355620388675203     -0.0004851723778283457    0.0005770017491308056      
Lambda        AB|PS|PS_z                6577.379452010336     All      -0.0006419753082605485    -6.132697665051555e-05    -0.0019535456734110154    0.00010195849327450288     
Lambda        AB|PS|PS_r                4725.185293901403     All      -7.730970234806015e-05    -3.731163905208223e-05    -0.0007442076928524082    -2.0181886197003915e-05    
Lambda        AB|PS|PS_i                5723.2227559577495    All      -0.0001367737764656173    2.1384863005092e-05       0.0015500950411609542     0.00012069109449829318     
MWEBV         All|All|All               All                   All      -0.47757433675291816      -2.824851650765048        0.056113087726464346      -0.7620813749164834        
Redshift      All|All|All               All                   All      5.57292196126228          -0.086471675079558        -2.5187565613168483       -1.9558512329779305        
