#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5929.675270680191    All      1.1522325864084897         0.04398006857151415       -0.43469062420711246      -0.38039255158089574      
Zeropoint     AB|PS|PS_r                4895.635829911022    All      -0.429718106421086         0.5633416477413888        -0.8033800438706384       0.2876210710593477        
Zeropoint     AB|PS|PS_g                3855.037427292157    All      -0.5947641514328491        0.45220658368734235       0.3488273293960731        0.3565993743477047        
Zeropoint     AB|PS|PS_z                6814.643767249102    All      0.8660776409607638         -0.0593783415817839       0.8909221628976782        -0.2616936958389465       
Check         All|All|All               All                  All      0.9938279695153183         1.0001499584184614        0.0016788242160004074     0.0021341979872101513     
Lambda        AB|PS|PS_i                5929.675270680191    All      -8.200258902461403e-05     -4.930508279794944e-05    0.00024042030917173124    2.1379507681821424e-05    
Lambda        AB|PS|PS_r                4895.635829911022    All      -0.00020486268782205145    -6.439552134823721e-05    -0.0018541704111570078    -3.698833220022667e-05    
Lambda        AB|PS|PS_g                3855.037427292157    All      -0.0005614389673027776     0.0004275515257555703     0.00035669815245607106    0.0003380645406986416     
Lambda        AB|PS|PS_z                6814.643767249102    All      -0.0004019913649964806     4.503802979340591e-05     0.00010068456998825259    0.00015010527064438994    
MWEBV         All|All|All               All                  All      -0.49254527867700615       -2.9910026585204363       0.03240364747578717       -0.8123837394590383       
Redshift      All|All|All               All                  All      3.2517657752656337         -0.022381489797318466     -2.597532145647685        -1.1824134101031547       
