#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_i                5929.675270680191    All      1.1401497817370052         0.0559462203140626        -0.6554491307015422        -0.3824104535273791        
Zeropoint     AB|PS|PS_r                4895.635829911022    All      -0.36078529033340756       0.5739285552168738        -0.412159006527019         0.2860742871843908         
Zeropoint     AB|PS|PS_g                3855.037427292157    All      -0.5470453129197685        0.41274606566048533       0.28256696618852           0.32524529411989617        
Zeropoint     AB|PS|PS_z                6814.643767249102    All      0.7626203240675419         -0.04297315237078436      0.7879832838681236         -0.22724422363139848       
Check         All|All|All               All                  All      0.9949395025513709         0.9996476888206374        0.0029421128280822106      0.0016649041455093772      
Lambda        AB|PS|PS_i                5929.675270680191    All      -0.0001437905222544565     -8.149015894430724e-06    0.0003830017161672795      6.127450862375997e-05      
Lambda        AB|PS|PS_r                4895.635829911022    All      -0.00011895277427824533    -8.24238204059773e-05     -0.0014401659612982313     -5.2369310366641593e-05    
Lambda        AB|PS|PS_g                3855.037427292157    All      -0.0005483746070215108     0.0004035142720839434     0.00012502162145508328     0.00031564066490058653     
Lambda        AB|PS|PS_z                6814.643767249102    All      -0.000548368502217499      1.6891566298536704e-05    -0.00048620789694309516    0.00016242657545108524     
MWEBV         All|All|All               All                  All      -0.4929467878026652        -2.9886297205006684       0.03784623798474352        -0.8112371329296721        
Redshift      All|All|All               All                  All      3.992125204431586          0.39023298054612354       4.0477644319407355         -0.9926216601659876        
