#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6952.026985596844     All      0.3169119425377626        0.009142166689457554       0.30549482081569934       -0.08661791055262352      
Zeropoint     AB|PS|PS_r                4994.331848242027     All      0.07721227186817373       0.28424634067505394        -0.9651196235664017       0.024368951263284422      
Zeropoint     AB|PS|PS_i                6049.217524137102     All      1.4364933408423557        0.10933776329995482        0.18700540011948874       -0.4239530416045703       
Zeropoint     AB|PS|PS_g                3932.7549818263665    All      -0.8325099785986686       0.5957922939614946         0.47635669017260795       0.486502651177137         
Check         All|All|All               All                   All      0.9981075766496232        0.9985185646259609         0.003737287541394352      0.00030065028322756593    
Lambda        AB|PS|PS_z                6952.026985596844     All      -0.0002547718562378011    -5.49302718245535e-06      -0.0002793087893610147    6.87340472028947e-05      
Lambda        AB|PS|PS_r                4994.331848242027     All      -0.0001641720691601296    -0.00013327449977658748    -0.0017540331376450947    -6.821008810222666e-05    
Lambda        AB|PS|PS_i                6049.217524137102     All      -0.0002676537187624481    -2.8625363163005176e-05    -0.0004846023222012663    5.6233823276178975e-05    
Lambda        AB|PS|PS_g                3932.7549818263665    All      -0.0006771299935008653    0.00039624583039771005     -8.474405936216186e-05    0.0003458520807055242     
MWEBV         All|All|All               All                   All      -0.5266082727389683       -3.075340460260101         0.006009308612298092      -0.8299377564303739       
Redshift      All|All|All               All                   All      3.2379534978232973        0.6428734244536827         6.429294311503497         -0.5583930790533015       
