#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6952.026985596844     All      0.3729569800056697         0.0031921414338498266      0.47792959806864566       -0.09911676991414181      
Zeropoint     AB|PS|PS_r                4994.331848242027     All      -0.018494648985501377      0.3422013710874694         -1.013043245745077        0.07228309296608965       
Zeropoint     AB|PS|PS_i                6049.217524137102     All      1.4199100714978525         0.08462988898756407        0.1575449476418678        -0.4279141774212875       
Zeropoint     AB|PS|PS_g                3932.7549818263665    All      -0.7772741404553798        0.5683972193724074         0.3774973809288511        0.4551754074967556        
Check         All|All|All               All                   All      0.9970982620626411         0.9984206208812907         -7.131910571256395e-05    0.0004275531274159361     
Lambda        AB|PS|PS_z                6952.026985596844     All      -0.0002541659103623661     -6.321258748623827e-07     -0.0003810151334901861    6.558133915288216e-05     
Lambda        AB|PS|PS_r                4994.331848242027     All      -0.00023558918316698602    -0.00011049646178623433    -0.0021608109484285193    -5.568025360063695e-05    
Lambda        AB|PS|PS_i                6049.217524137102     All      -0.0003193776775323329     -5.6274220486709874e-05    -0.0008400165172275296    4.8215372698844116e-05    
Lambda        AB|PS|PS_g                3932.7549818263665    All      -0.0007179142848770556     0.0004476928154868536      -7.07971041089601e-05     0.0003765172303260527     
MWEBV         All|All|All               All                   All      -0.5187388239010282        -3.079418960050262         0.029166190659100345      -0.8327962110843443       
Redshift      All|All|All               All                   All      3.680230469146683          0.176576149944907          5.717383058554757         -0.8861149316546497       
