#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6296.2133980553945    All      0.6838029742681152         -0.07847100287072806       -0.16671111604752162       -0.2557372638558156        
Zeropoint     AB|PS|PS_g                3561.7618658766546    All      -0.5651672130237929        0.2541833581517494         -0.16337323259184067       0.2595988398405408         
Zeropoint     AB|PS|PS_r                4523.195776193692     All      -0.4971919920584329        0.4317031202528909         -0.06660523405296491       0.2995994121322696         
Zeropoint     AB|PS|PS_i                5478.5697037903055    All      1.3737863909268364         0.3921085663503021         0.398717961979106          -0.30197181230794684       
Check         All|All|All               All                   All      0.9952301601127259         0.9995240418842144         0.0020283792867787365      0.001489175809047949       
Lambda        AB|PS|PS_z                6296.2133980553945    All      3.3451428895416675e-05     -9.650631258062771e-05     -0.0009954727156605589     -8.675488714056709e-05     
Lambda        AB|PS|PS_g                3561.7618658766546    All      -0.0011502766755429215     0.00041704374872523386     -0.000978600125768102      0.0004668573964292917      
Lambda        AB|PS|PS_r                4523.195776193692     All      2.9782936500282467e-05     -0.00010181651172600569    -0.00032203831564957974    -5.723736073950508e-05     
Lambda        AB|PS|PS_i                5478.5697037903055    All      -1.9519794950193685e-05    -8.191730073921978e-05     -0.0018917262986428644     -0.00010474397677625359    
MWEBV         All|All|All               All                   All      -0.4275998201890956        -2.6421510174277074        0.046469061344793526       -0.7192784807278095        
Redshift      All|All|All               All                   All      3.105655644649646          -0.2601620460501053        -1.6929184299555788        -1.171904728209663         
