#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6296.2133980553945    All      0.7034003198601649        -0.036045786443494876      0.1127742929267872        -0.23582932513768404       
Zeropoint     AB|PS|PS_g                3561.7618658766546    All      -0.5682147588205606       0.24047217788609743        -0.24904763296041965      0.25230208827071027        
Zeropoint     AB|PS|PS_r                4523.195776193692     All      -0.45238095511022125      0.42764856702071086        -0.09736520692079642      0.2823096054667046         
Zeropoint     AB|PS|PS_i                5478.5697037903055    All      1.3112975517053849        0.3673881793398337         0.23332779998365138       -0.2970499881979775        
Check         All|All|All               All                   All      0.9941021576347678        0.9994631378031471         -0.0003107469707774868    0.0017323804017533306      
Lambda        AB|PS|PS_z                6296.2133980553945    All      8.981981672364763e-06     -7.155659674545073e-05     -0.0008280340369330798    -6.318542067675813e-05     
Lambda        AB|PS|PS_g                3561.7618658766546    All      -0.001161323999562511     0.00037534512796939405     -0.0013061301686967928    0.0004422570991597539      
Lambda        AB|PS|PS_r                4523.195776193692     All      1.7618858131455604e-05    -9.960464582487268e-05     -0.0002405866910093159    -4.891983082234676e-05     
Lambda        AB|PS|PS_i                5478.5697037903055    All      -6.203198934279323e-05    -0.00010770466002375673    -0.0020488346573807855    -0.00010630717222870722    
MWEBV         All|All|All               All                   All      -0.4402010259923381       -2.634808853780868         0.0640278143082873        -0.7119987026802262        
Redshift      All|All|All               All                   All      2.986376848358979         -0.16450893293082913       -2.1510495198968527       -1.1223386206891457        
