#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4023.1982883756536    All      -0.860962215129417        0.5739662750039898        -0.2589590893939786        0.45584726217799076       
Zeropoint     AB|SDSS|SDSS_i            6375.173764161995     All      1.0554303151764919        -0.00391531960985958      -0.17395067663538374       -0.35282634445778477      
Zeropoint     AB|SDSS|SDSS_z            7579.550179693217     All      0.10999374350046134       -0.004085095337380551     0.06254506945678315        -0.03436813170106274      
Zeropoint     AB|SDSS|SDSS_r            5257.11745452408      All      0.7478265760336695        0.40973882991472976       0.3631547647822352         -0.09392037242468196      
Zeropoint     AB|SDSS|SDSS_u            3059.588183960343     All      -0.059649315328840706     0.024276561507718952      0.007973025680900112       0.027693218682359275      
Check         All|All|All               All                   All      0.9926391042523655        0.9999812514791984        0.000763093890556097       0.002425632276820581      
Lambda        AB|SDSS|SDSS_g            4023.1982883756536    All      -0.0007016827298754115    0.0004198624043302636     -0.0004309289439056763     0.0003460937683682728     
Lambda        AB|SDSS|SDSS_i            6375.173764161995     All      -0.0003547292557051862    -4.774134387923314e-05    -0.0008139072069177089     6.36751219798785e-05      
Lambda        AB|SDSS|SDSS_z            7579.550179693217     All      -1.052943891695429e-05    -9.133387215513878e-07    -2.2999600434323173e-05    2.105913659902485e-06     
Lambda        AB|SDSS|SDSS_r            5257.11745452408      All      2.5968887767041323e-05    3.438456210939839e-05     -0.001942832235199666      -8.395841755048767e-05    
Lambda        AB|SDSS|SDSS_u            3059.588183960343     All      -5.917599326324801e-05    2.3366385414462236e-05    3.4132087155712608e-06     2.703908412760375e-05     
MWEBV         All|All|All               All                   All      -0.6986156150311231       -3.2901643455977236       0.05275201588650412        -0.8417986007785504       
Redshift      All|All|All               All                   All      5.76460152361383          -0.6849036606846326       -0.4586196257528997        -2.121282108477723        
