#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4332.70385108929     All      -0.16951132799648794       0.481270763246755          -0.11065853369514045      0.20704295509023085        
Zeropoint     VEGAHST|UVOT|UVOT_v       5382.983818774214    All      1.7939899345859098         0.35217391157846833        0.2086305222706919        -0.46033669102812924       
Zeropoint     VEGAHST|UVOT|UVOT_u       3456.557975206528    All      -0.6120235560196501        0.16051379693546863        -0.10975928300864801      0.24674277888694918        
Check         All|All|All               All                  All      1.0124550505697718         0.993958471760692          -0.011787294433096562     -0.006550957050949213      
Lambda        VEGAHST|UVOT|UVOT_b       4332.70385108929     All      -0.00041976076334712144    9.746799374551539e-06      -0.0015893810156314533    6.897796859288727e-05      
Lambda        VEGAHST|UVOT|UVOT_v       5382.983818774214    All      0.0015734421053050706      0.00018023103904348732     -0.0017008851236497413    -0.0005297173707497062     
Lambda        VEGAHST|UVOT|UVOT_u       3456.557975206528    All      4.2777721319478276e-05     -1.1064800420729887e-05    -0.000269192935708509     -2.9551125059372606e-05    
MWEBV         All|All|All               All                  All      -1.6117339256044345        -3.8907036380981808        -0.05113991782423888      -0.7446175508910968        
Redshift      All|All|All               All                  All      -0.26845329131422335       -0.07727562595025717       7.210657002726606         0.38405135984935224        
