#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4332.70385108929     All      -0.7290207346527471       0.5305300337415275         -0.17286024795414393      0.4025631643076733        
Zeropoint     VEGAHST|UVOT|UVOT_v       5382.983818774214    All      2.2577129018700757        0.3131414501420071         0.20184921553775426       -0.6244032928988261       
Zeropoint     VEGAHST|UVOT|UVOT_u       3456.557975206528    All      -0.5432880513429954       0.15818333315027466        -0.02866880983329961      0.2272129503407518        
Check         All|All|All               All                  All      0.985404115874333         1.0018548170338093         0.0003201577503107213     0.005372821749598994      
Lambda        VEGAHST|UVOT|UVOT_b       4332.70385108929     All      -0.0005209445728165653    -5.123047574050414e-05     -0.0021395081589502037    5.75249118240662e-05      
Lambda        VEGAHST|UVOT|UVOT_v       5382.983818774214    All      0.0010591537177658246     -5.6227403296792896e-05    -0.0028750801820474985    -0.0004916179498381515    
Lambda        VEGAHST|UVOT|UVOT_u       3456.557975206528    All      2.321873706396352e-06     9.082340350436105e-06      0.00016010703383865555    9.34694797392038e-06      
MWEBV         All|All|All               All                  All      -1.4282692972202513       -3.923599637004971         -0.030564737767446358     -0.8141751494654266       
Redshift      All|All|All               All                  All      -0.7519249597819248       0.363757407654397          3.839262598989573         0.5347431086312356        
