#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4623.353928980621     All      -0.14461130150967216      0.42758317921496314        0.9144688684788916        0.2271911126078969         
Zeropoint     AB|PS|PS_z                6435.6318832822735    All      0.9777470492109417        0.049669828606901945       1.872834188988278         -0.21872929534613866       
Zeropoint     AB|PS|PS_g                3640.6307689276146    All      -0.6009497069117518       0.34430347852154597        0.017412847744237608      0.30867711582223395        
Zeropoint     AB|PS|PS_i                5599.882918737598     All      0.7628401217134473        0.177302312644656          -2.8045482274377673       -0.315883034601878         
Check         All|All|All               All                   All      0.995026162502965         0.9988587989880671         0.00016767777364012915    0.001255898482114215       
Lambda        AB|PS|PS_r                4623.353928980621     All      -8.599900210182689e-05    -0.00013952185598386033    -0.0012941929508211904    -7.518804174089138e-05     
Lambda        AB|PS|PS_z                6435.6318832822735    All      3.6764169722338894e-05    -4.301247548222779e-06     -6.775660508535947e-05    -1.6400023507249487e-05    
Lambda        AB|PS|PS_g                3640.6307689276146    All      -0.0009464912756408353    0.0005009847616796835      -0.0005148338608708689    0.0004485158952381791      
Lambda        AB|PS|PS_i                5599.882918737598     All      2.5693653898246652e-05    8.667483492585275e-06      0.00040540367917565157    1.2545320404365763e-05     
MWEBV         All|All|All               All                   All      -0.4713008806518473       -2.7310261578307404        -0.009162433421599753     -0.7364757428526556        
Redshift      All|All|All               All                   All      4.9650753958486185        0.0783985043572244         0.8643049225050837        -1.5531814713707484        
