#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4623.353928980621     All      -0.18053940286793768       0.4643197447558478        0.7317531960407408         0.24270662393529874       
Zeropoint     AB|PS|PS_z                6435.6318832822735    All      0.9381731967985535         0.052341498363972505      1.7940570532421596         -0.20848400069720038      
Zeropoint     AB|PS|PS_g                3640.6307689276146    All      -0.5464207697283161        0.29821644269443226       -0.08664119447552299       0.27125972924416997       
Zeropoint     AB|PS|PS_i                5599.882918737598     All      0.7845744468967849         0.1833217287014577        -2.439400071508424         -0.30470701237523823      
Check         All|All|All               All                   All      0.9957874710990845         0.9981994145157103        -0.00023101670104663796    0.0007753401070300647     
Lambda        AB|PS|PS_r                4623.353928980621     All      -0.00010176609813749324    -0.0001226532187327627    -0.0010419186644346136     -5.32996669781145e-05     
Lambda        AB|PS|PS_z                6435.6318832822735    All      -2.6955975181454223e-05    -9.370272673868223e-07    1.9269745014472757e-05     9.335147550830674e-06     
Lambda        AB|PS|PS_g                3640.6307689276146    All      -0.0008459447104320512     0.0004470274960694687     -0.0005366846381197875     0.0003972138146837489     
Lambda        AB|PS|PS_i                5599.882918737598     All      3.5020278815827075e-05     1.0041432783643938e-05    0.0005436584943841674      1.6124549738908082e-05    
MWEBV         All|All|All               All                   All      -0.4776332899920348        -2.7279240822615236       0.004667076508990675       -0.7327854732207678       
Redshift      All|All|All               All                   All      4.905091563099295          0.1974201144593124        -0.0188257969028105        -1.5342835774643868       
