#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5848.949493480336    All      1.2059992414002354         0.10982585279464274       -0.9951306276671577        -0.4014678451452747       
Zeropoint     AB|PS|PS_g                3802.555482118625    All      -0.7694386069125775        0.4304683959048816        0.0059564269313673165      0.3911149945625591        
Zeropoint     AB|PS|PS_z                6721.870151605859    All      0.5289860371319672         0.003462803475784426      0.7402869245860554         -0.13814460097325512      
Zeropoint     AB|PS|PS_r                4828.987322325599    All      0.0297101847584485         0.4553203628152147        0.24775422731244853        0.14969137042298752       
Check         All|All|All               All                  All      0.9952568563780738         0.9990774149905235        -0.0011330488372864045     0.00119391886701678       
Lambda        AB|PS|PS_i                5848.949493480336    All      -0.0003362967887235627     -6.853546869646211e-05    0.0005402010337931617      0.00011132536210318038    
Lambda        AB|PS|PS_g                3802.555482118625    All      -0.0008142612393906353     0.00041953046024338544    -0.00030105876632658275    0.0003884516770838042     
Lambda        AB|PS|PS_z                6721.870151605859    All      -0.00022253820231022306    1.6354899691738366e-05    -1.2491585181588056e-05    7.725790059676999e-05     
Lambda        AB|PS|PS_r                4828.987322325599    All      -0.00021057052026857102    -4.398537866894958e-05    -0.0011507870458144559     2.907920626397706e-06     
MWEBV         All|All|All               All                  All      -0.5036711130239042        -2.9186046535855326       0.039089074233319955       -0.7848789372611283       
Redshift      All|All|All               All                  All      4.102528089220415          0.7970716580819825        6.056314825604552          -0.8064303908894489       
