#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5848.949493480336    All      1.195457786372929          0.09777990687283022       -0.817889015319706        -0.39404842820811026      
Zeropoint     AB|PS|PS_g                3802.555482118625    All      -0.8049309821594164        0.4303898049304422        -0.02005256534293176      0.40148976730875474       
Zeropoint     AB|PS|PS_z                6721.870151605859    All      0.5056383209512185         0.015318278050813205      0.7076199951571382        -0.12813553862015548      
Zeropoint     AB|PS|PS_r                4828.987322325599    All      0.10088309471024787        0.45621107236204494       0.1391347385830577        0.12195095662465016       
Check         All|All|All               All                  All      0.9970482198749788         0.9996990622161306        0.008813153077558145      0.0012567571051391724     
Lambda        AB|PS|PS_i                5848.949493480336    All      -0.0004960154884876837     -8.480688192389082e-05    0.00026787413365583925    0.0001458981638028153     
Lambda        AB|PS|PS_g                3802.555482118625    All      -0.0006778007957967861     0.00027054813570089465    -0.0006678003460900599    0.00027910758439196826    
Lambda        AB|PS|PS_z                6721.870151605859    All      -0.00020010090493057187    1.4123844412435096e-05    9.665177333457294e-05     7.409317338431383e-05     
Lambda        AB|PS|PS_r                4828.987322325599    All      -0.000246090374358873      -9.977230636582314e-05    -0.0012760614295774504    -9.284152397088228e-06    
MWEBV         All|All|All               All                  All      -0.5192262271964867        -2.911312832499746        0.04747748203811075       -0.7770626026918692       
Redshift      All|All|All               All                  All      4.429273530116857          1.400983697424607         6.324226021148527         -0.7041924650797726       
