#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4781.644309361622     All      -0.19177589417283064       0.3953967427209548         -0.4010875147555385       0.17336275158706083       
Zeropoint     AB|PS|PS_i                5791.6068513873915    All      0.6249091213160742         0.06962790390794282        -2.357180767636006        -0.28606351223917403      
Zeropoint     AB|PS|PS_z                6655.969463845016     All      1.1158999963102587         0.07849918636999575        2.1564689094150187        -0.24168227014671187      
Zeropoint     AB|PS|PS_g                3765.2755264115794    All      -0.5532862911131523        0.45592619520924416        0.6103917642904761        0.3559726899121146        
Check         All|All|All               All                   All      0.9957469323403498         0.9994500282081376         0.008592391313950287      0.0015896591132895654     
Lambda        AB|PS|PS_r                4781.644309361622     All      -0.00011074586504530905    -2.2424276783683915e-05    -0.0009276827771438817    -1.262897466028881e-05    
Lambda        AB|PS|PS_i                5791.6068513873915    All      -0.00012603383116562757    -1.7166242580645066e-05    0.0010681908658605093     8.313020755956753e-05     
Lambda        AB|PS|PS_z                6655.969463845016     All      -0.0009233479940178775     -7.369938656571902e-05     -0.001692323618204509     0.00020123787353685366    
Lambda        AB|PS|PS_g                3765.2755264115794    All      -0.0007426386528546826     0.000565029942714738       0.0003528582041919187     0.0004416971236298741     
MWEBV         All|All|All               All                   All      -0.4739616217264886        -2.8748192489388202        0.09328267928973331       -0.7778755375080255       
Redshift      All|All|All               All                   All      5.164202309154754          0.4449483751866268         0.8508555904861652        -1.49924648797118         
