#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4781.644309361622     All      -0.2841782312432646        0.4046881701793126         -0.30743466733607616      0.21066705276792663       
Zeropoint     AB|PS|PS_i                5791.6068513873915    All      0.5532037019116541         0.05844598249638011        -2.9588365171822115       -0.2931981505762987       
Zeropoint     AB|PS|PS_z                6655.969463845016     All      1.2208739719255126         0.04152269090056393        2.1898957814889597        -0.28642852083418935      
Zeropoint     AB|PS|PS_g                3765.2755264115794    All      -0.49473047893585353       0.4956465001987098         1.0841494944173358        0.3709789771562666        
Check         All|All|All               All                   All      0.9951689636580486         1.0003033437749664         0.007774091388007998      0.0020193585137051606     
Lambda        AB|PS|PS_r                4781.644309361622     All      -0.00011346599780856094    1.3092566230548422e-05     -0.0010092500179970712    -3.813905024915117e-06    
Lambda        AB|PS|PS_i                5791.6068513873915    All      -2.4542202088364228e-05    1.5887383055268334e-05     0.001198938827950396      6.667237933968626e-05     
Lambda        AB|PS|PS_z                6655.969463845016     All      -0.0009377449627918162     -4.7424297380486005e-05    -0.0017134740422026261    0.00021354225460246595    
Lambda        AB|PS|PS_g                3765.2755264115794    All      -0.0008406241293254254     0.0006919047973597083      0.0006266069813304445     0.0005271576818004576     
MWEBV         All|All|All               All                   All      -0.45641794767338606       -2.8859690693444406        0.08406767781716229       -0.78763317583391         
Redshift      All|All|All               All                   All      5.351131179924039          -0.05675387378882846       2.5769266991488013        -1.6465296729411993       
