#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4276.637800762863     All      -0.6630199532699489       0.6675676069136216        -0.020665790273068085     0.43249392407692516        
Zeropoint     AB|SDSS|SDSS_u            3252.3255242224473    All      -0.09110958349649906      0.06319769812570541       0.23030011742871115       0.06054019469379085        
Zeropoint     AB|SDSS|SDSS_r            5588.287133156749     All      0.5853274649616886        0.378636822575551         -1.9407427409189257       -0.15393237716352787       
Zeropoint     AB|SDSS|SDSS_z            8057.020431956474     All      0.2524179329896783        -0.03337387636150879      0.40773556282895085       -0.07489642906958333       
Zeropoint     AB|SDSS|SDSS_i            6776.774882068933     All      0.9075833068129187        -0.07688967613148634      1.3489249706952755        -0.2604789126902776        
Check         All|All|All               All                   All      0.9911991679978377        0.9991385751218829        0.025552119760943626      0.0037263998473271998      
Lambda        AB|SDSS|SDSS_g            4276.637800762863     All      -0.0005220681957221881    0.0002761672466978838     -0.0010413938878254486    0.00021353891849771513     
Lambda        AB|SDSS|SDSS_u            3252.3255242224473    All      -8.650175788601335e-05    6.768378525270799e-05     0.0003254598876725038     6.474708395760729e-05      
Lambda        AB|SDSS|SDSS_r            5588.287133156749     All      -2.937376492721222e-05    2.065532609856578e-05     -0.0013733858015903535    -4.499177973684054e-05     
Lambda        AB|SDSS|SDSS_z            8057.020431956474     All      1.449701169083713e-05     4.024106457817554e-06     7.373389882473894e-05     -1.2096452574278166e-07    
Lambda        AB|SDSS|SDSS_i            6776.774882068933     All      -0.0006462632175208453    1.4443603565592364e-05    -0.0014720766075324743    0.0001495219302457618      
MWEBV         All|All|All               All                   All      -0.7950715357572093       -3.5349411778581086       0.5465225354771175        -0.8680768907949623        
Redshift      All|All|All               All                   All      4.327422571738675         -0.036612548798231614     2.554850285184407         -1.3074985770249652        
