#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4276.637800762863     All      -0.6428770074958767        0.6139033873154176        -0.17702379564385912      0.4014749624782038         
Zeropoint     AB|SDSS|SDSS_u            3252.3255242224473    All      -0.12388770715347489       0.08222038749448046       0.3324712539729018        0.0819728522613169         
Zeropoint     AB|SDSS|SDSS_r            5588.287133156749     All      0.6413701121475699         0.3716119329277845        -1.8547462919579663       -0.17063792222085564       
Zeropoint     AB|SDSS|SDSS_z            8057.020431956474     All      0.18768419806312073        -0.021438949748286973     0.31185804742100004       -0.05420149684518916       
Zeropoint     AB|SDSS|SDSS_i            6776.774882068933     All      0.9325716003848891         -0.04681344894112982      1.4094554884974935        -0.25612040631982486       
Check         All|All|All               All                   All      0.994861195946228          0.9994833090482658        0.02201470228956981       0.0024879893536510767      
Lambda        AB|SDSS|SDSS_g            4276.637800762863     All      -0.00043728904683231146    0.00018538973399578938    -0.0012185583879382033    0.00014844830022168307     
Lambda        AB|SDSS|SDSS_u            3252.3255242224473    All      -8.304084279820654e-05     5.512567637860689e-05     0.00024156920223771016    5.5785504848006426e-05     
Lambda        AB|SDSS|SDSS_r            5588.287133156749     All      -6.865112871994225e-05     -1.063105098516894e-05    -0.0010818713750977516    -2.937990249303539e-05     
Lambda        AB|SDSS|SDSS_z            8057.020431956474     All      1.513505872085984e-05      -6.056940785228564e-07    4.275438370196168e-05     -3.2193492613074743e-06    
Lambda        AB|SDSS|SDSS_i            6776.774882068933     All      -0.0006432836984612241     2.3087854183356972e-05    -0.00134546107380385      0.00015701738942457775     
MWEBV         All|All|All               All                   All      -0.8048838821398943        -3.534510807830493        0.5374381605308105        -0.8651458950155955        
Redshift      All|All|All               All                   All      4.241940295497173          0.4769384989582903        1.9162166652309587        -1.140873001108222         
