#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6551.472141537069     All      0.8251115988854442         0.0025574378078374593      0.19370924772907916        -0.2592885974393234       
Zeropoint     AB|SDSS|SDSS_g            4134.455386038785     All      -0.7298553602393202        0.5598308196891111         -0.30763197027458          0.40636501628691          
Zeropoint     AB|SDSS|SDSS_u            3144.1977102606916    All      -0.09703247809733777       0.057921615697686946       0.12070763464486767        0.0558602735313914        
Zeropoint     AB|SDSS|SDSS_z            7789.154254396976     All      0.17202357356293466        -0.00512996924122433       0.12212954680530519        -0.052254656316557714     
Zeropoint     AB|SDSS|SDSS_r            5402.497221600061     All      0.822405107464794          0.385364343066108          -0.12199049487536806       -0.14780243068293533      
Check         All|All|All               All                   All      0.992652441576515          1.0005442470195192         0.006923964029303953       0.0028796053794849508     
Lambda        AB|SDSS|SDSS_i            6551.472141537069     All      -0.00032746596101850857    -1.3818418818801668e-05    -0.00028943235599850856    8.9249286458603e-05       
Lambda        AB|SDSS|SDSS_g            4134.455386038785     All      -0.0006231970608307953     0.0002321493529713994      -0.0016199823808293544     0.00020632209369008897    
Lambda        AB|SDSS|SDSS_u            3144.1977102606916    All      -5.2746171078638634e-05    3.8461458003299515e-05     0.00011483531691959131     3.48338982084437e-05      
Lambda        AB|SDSS|SDSS_z            7789.154254396976     All      2.0402710043528634e-06     1.789242441372819e-07      3.760343641338255e-07      -5.89521189683794e-07     
Lambda        AB|SDSS|SDSS_r            5402.497221600061     All      0.00020206341144595916     6.639930280160963e-05      -0.0005673331112934104     -6.950773449236051e-05    
MWEBV         All|All|All               All                   All      -0.8130986015991284        -3.3493075506864756        0.2839632300402406         -0.8134547187530405       
Redshift      All|All|All               All                   All      4.780179838219588          -0.260119459656849         5.760535895934493          -1.3847250423887338       
