#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6551.472141537069     All      0.8599407924284638        0.004388353108986109      0.24760314248274476       -0.2676321852766585       
Zeropoint     AB|SDSS|SDSS_g            4134.455386038785     All      -0.7273963702935748       0.5429457804329019        -0.4298075249270207       0.3946118957040635        
Zeropoint     AB|SDSS|SDSS_u            3144.1977102606916    All      -0.11772578033860696      0.06999711856927604       0.14918732318160802       0.06780506911523235       
Zeropoint     AB|SDSS|SDSS_z            7789.154254396976     All      0.14324312132794187       -0.0020783514468547537    0.13078859711447272       -0.04149949021827813      
Zeropoint     AB|SDSS|SDSS_r            5402.497221600061     All      0.8346603697801122        0.3853571329223371        -0.08953013299459811      -0.1503481645205326       
Check         All|All|All               All                   All      0.9927221329043359        1.0006100335866464        0.008241404857206702      0.0029371248038266573     
Lambda        AB|SDSS|SDSS_i            6551.472141537069     All      -0.000260759869097432     -8.852825893221528e-06    -0.0002165370855614609    7.239135585742356e-05     
Lambda        AB|SDSS|SDSS_g            4134.455386038785     All      -0.0006349178052781468    0.00028193699829594455    -0.0015727393542293668    0.00022846563910249777    
Lambda        AB|SDSS|SDSS_u            3144.1977102606916    All      -8.021776515151162e-05    4.833826502467983e-05     0.0001058903588595295     4.6600328775227035e-05    
Lambda        AB|SDSS|SDSS_z            7789.154254396976     All      4.442551952468671e-06     6.916103180630755e-07     1.5573881159539775e-05    -5.268143047389726e-07    
Lambda        AB|SDSS|SDSS_r            5402.497221600061     All      0.000208885277846977      7.396917738948973e-05     -0.0005638007435389764    -6.910645026785898e-05    
MWEBV         All|All|All               All                   All      -0.8024643629588013       -3.353582197120808        0.2965090888574422        -0.8177511690516409       
Redshift      All|All|All               All                   All      4.379380637380118         -0.5829174493591438       4.256688010462802         -1.4264273059628203       
