#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7633.550361907988    All      0.3653902288440858        -0.06166580593003346      0.034069396712010924      -0.13758583955197842      
Zeropoint     AB|PS|PS_r                5483.937816499063    All      0.6415436308291542        0.3642636099801422        0.008288276018542096      -0.0899493573402188       
Zeropoint     AB|PS|PS_g                4318.29210056479     All      -0.9794864180293323       0.8186122828011122        -0.008077320992050385     0.5853394488125517        
Zeropoint     AB|PS|PS_i                6642.236388941828    All      0.970292930440054         -0.12255514702097514      -0.033934320614015245     -0.3574909053371822       
Check         All|All|All               All                  All      0.9977403720839616        0.9986549398302458        0.00034603112448738926    0.00031334658317228037    
Lambda        AB|PS|PS_z                7633.550361907988    All      -7.316768777743089e-05    7.860435924038894e-06     -1.586432101942646e-05    2.568557385075191e-05     
Lambda        AB|PS|PS_r                5483.937816499063    All      0.00010211051717111904    -3.456431840123872e-06    -0.0007758169624053083    -6.900777617614663e-05    
Lambda        AB|PS|PS_g                4318.29210056479     All      -0.00049512703460345      0.00024272699633111277    -0.0006249633049095906    0.00021245409060649802    
Lambda        AB|PS|PS_i                6642.236388941828    All      -0.0003826721218155119    8.12247666166458e-06      -0.000362422149318224     0.00011112142150507486    
MWEBV         All|All|All               All                  All      -0.5849233331095571       -3.5315118427849512       0.016228731162593046      -0.9590766037479215       
Redshift      All|All|All               All                  All      3.780744448947316         1.400456473351852         1.0675182578959608        -0.727699665883947        
