#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                7633.550361907988    All      0.3650430642654224         -0.061411961216961686     0.033957602021305655      -0.13739505993663362       
Zeropoint     AB|PS|PS_r                5483.937816499063    All      0.5872164676546692         0.37004941023397464       0.002100234799125668      -0.07064473135283852       
Zeropoint     AB|PS|PS_g                4318.29210056479     All      -0.9555235854107089        0.8076607354229992        -0.07089243592794676      0.5711635365184298         
Zeropoint     AB|PS|PS_i                6642.236388941828    All      1.000964357232324          -0.11772840922752437      0.0357909779024187        -0.3627978509730349        
Check         All|All|All               All                  All      0.9977003037417067         0.9985697752124878        0.0009563787949032551     0.0003258942559227207      
Lambda        AB|PS|PS_z                7633.550361907988    All      -4.9175342512119364e-05    6.035382429987058e-06     4.032356883695788e-06     1.8163895060316854e-05     
Lambda        AB|PS|PS_r                5483.937816499063    All      0.00012441182381413282     3.5431379553706966e-05    -0.0005362553819283415    -5.2914472828862755e-05    
Lambda        AB|PS|PS_g                4318.29210056479     All      -0.0005493773781744011     0.00031523564368703415    -0.0005582647148206788    0.00025672011593843723     
Lambda        AB|PS|PS_i                6642.236388941828    All      -0.0003402412730751749     1.0050508668115294e-05    -0.0003156254440697906    0.00010001664361750127     
MWEBV         All|All|All               All                  All      -0.5785708693477187        -3.53476995144959         0.008495184549502401      -0.962552196032114         
Redshift      All|All|All               All                  All      3.604417089340906          1.262561051644262         1.2452960396384067        -0.7072477134417532        
