#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3060.2440625741356    All      -0.09675539934836058      0.034190804202083314       0.060086445842486014      0.04533486860940211       
Zeropoint     AB|SDSS|SDSS_r            5258.244413677176     All      0.6755808883587653        0.2678179160394478         -0.8527771925068539       -0.17087734452532788      
Zeropoint     AB|SDSS|SDSS_g            4024.0607344166688    All      -0.7940959288890377       0.6125469447685106         -0.025822902875946574     0.4570375035711869        
Zeropoint     AB|SDSS|SDSS_i            6376.540399107524     All      1.120749701959947         0.08083603398389982        0.7055951004525024        -0.3072466251511578       
Zeropoint     AB|SDSS|SDSS_z            7581.174994722602     All      0.08480421485543184       0.00461768235702209        0.116675892446233         -0.020912682486409068     
Check         All|All|All               All                   All      0.990283476936746         1.0000093813509636         0.003757343358420928      0.003335720017694249      
Lambda        AB|SDSS|SDSS_u            3060.2440625741356    All      -7.981005129992524e-05    2.61980355175042e-05       3.5318515128326764e-05    3.6106424557006585e-05    
Lambda        AB|SDSS|SDSS_r            5258.244413677176     All      0.00020837648855408293    6.650577981003791e-05      -0.0004703174522023756    -6.720006504748225e-05    
Lambda        AB|SDSS|SDSS_g            4024.0607344166688    All      -0.0005801427479749522    0.00032378938404388117     -0.001052351987883523     0.0002474787979409742     
Lambda        AB|SDSS|SDSS_i            6376.540399107524     All      -0.0003385825749611975    -4.1188842165075496e-05    -0.0005684846664246207    7.15020630279964e-05      
Lambda        AB|SDSS|SDSS_z            7581.174994722602     All      -9.24741556301331e-06     2.4916361697289154e-07     9.204781994178017e-06     3.504115411462082e-06     
MWEBV         All|All|All               All                   All      -0.7531455142317522       -3.2718855627239307        0.20687680343175752       -0.8112045362938202       
Redshift      All|All|All               All                   All      4.441695041206396         -0.3096526535827593        -4.165338691201867        -1.7335501939686682       
