#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3060.2440625741356    All      -0.08405526907989883       0.031191825789633754       0.061335151609966686       0.04027687642999936        
Zeropoint     AB|SDSS|SDSS_r            5258.244413677176     All      0.6633562098202983         0.2853309978021912         -0.8883304571434171        -0.162777356562461         
Zeropoint     AB|SDSS|SDSS_g            4024.0607344166688    All      -0.7569320536160501        0.6009136764495437         0.08528648436837243        0.4461009701707039         
Zeropoint     AB|SDSS|SDSS_i            6376.540399107524     All      1.0667222624477493         0.07714672722780591        0.614313482668263          -0.29492331859752163       
Zeropoint     AB|SDSS|SDSS_z            7581.174994722602     All      0.10282692063579268        0.005394008958248264       0.13439992820678215        -0.025739453261633637      
Check         All|All|All               All                   All      0.9919180702078916         0.9999772362274228         0.007004589709967202       0.002937718179086935       
Lambda        AB|SDSS|SDSS_u            3060.2440625741356    All      -7.409361215142219e-05     2.7874486846338604e-05     6.059798910213781e-05      3.5918574431515854e-05     
Lambda        AB|SDSS|SDSS_r            5258.244413677176     All      0.00013379818201585345     7.247321294250468e-05      -0.0008091549280915943     -5.6084428085308535e-05    
Lambda        AB|SDSS|SDSS_g            4024.0607344166688    All      -0.000579430129928604      0.000352946799198709       -0.000994160541625025      0.00025934102114810574     
Lambda        AB|SDSS|SDSS_i            6376.540399107524     All      -0.00025198385404036176    -2.9723425007206098e-05    -0.0002434858103778889     6.153188045973449e-05      
Lambda        AB|SDSS|SDSS_z            7581.174994722602     All      -1.27693988112666e-05      -3.2094236247505997e-07    -1.1697890047456533e-05    3.5328487010716592e-06     
MWEBV         All|All|All               All                   All      -0.7489547064209798        -3.274926032997527         0.17450108475445925        -0.8150047810961519        
Redshift      All|All|All               All                   All      4.564459176614648          -0.43833245609405935       -3.36615808626487          -1.7797899969143305        
