#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8098.361484804634    All      0.15292886178235032        0.0006931409906485442      0.21857471038639356       -0.03983419722109637      
Zeropoint     AB|SDSS|SDSS_u            3269.013400654163    All      -0.13216749451396642       0.11976677103078259        0.46433585321998866       0.10278445519084282       
Zeropoint     AB|SDSS|SDSS_g            4298.581484637925    All      -0.6618720166703027        0.604508619847266          -0.49166636001947644      0.3905610244934529        
Zeropoint     AB|SDSS|SDSS_i            6811.546918568742    All      0.8804800573075837         0.07198383903670447        1.5282499349366152        -0.19515504142819642      
Zeropoint     AB|SDSS|SDSS_r            5616.960968063039    All      0.7552519964146809         0.20416877828370872        -1.7007298237672253       -0.2554016951097987       
Check         All|All|All               All                  All      0.9946214043203456         1.0011211491891103         0.018764314756295697      0.002954545925204277      
Lambda        AB|SDSS|SDSS_z            8098.361484804634    All      -5.849913160232532e-06     2.663579395696937e-06      2.4322766566630097e-05    3.858537972494395e-06     
Lambda        AB|SDSS|SDSS_u            3269.013400654163    All      -8.983100320007496e-05     7.573072187382842e-05      0.0002626781763723557     6.565102124980981e-05     
Lambda        AB|SDSS|SDSS_g            4298.581484637925    All      -0.00034769049182821737    0.00013516869272356646     -0.0013648635454629522    9.637553056135484e-05     
Lambda        AB|SDSS|SDSS_i            6811.546918568742    All      -0.0005743637133769651     -5.162332982484191e-05     -0.001047309589667877     0.00012353712370280912    
Lambda        AB|SDSS|SDSS_r            5616.960968063039    All      -4.119803296617503e-05     -1.4940456986341947e-06    0.0004846959274899537     3.456264799142166e-05     
MWEBV         All|All|All               All                  All      -0.8246075870868168        -3.507454755160211         0.6896376428383252        -0.8431162250829133       
Redshift      All|All|All               All                  All      4.799834959982507          0.67962290828536           -4.973683660641782        -1.5640412746596326       
