#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8098.361484804634    All      0.21990440205335982        0.0005574016510578872      0.37338394183272783        -0.054786123899419614     
Zeropoint     AB|SDSS|SDSS_u            3269.013400654163    All      -0.18074128839856263       0.15190612873539067        0.5474281725313057         0.13278341262890625       
Zeropoint     AB|SDSS|SDSS_g            4298.581484637925    All      -0.8368375844233681        0.6578469536382414         -0.6257217515218683        0.45894483977300116       
Zeropoint     AB|SDSS|SDSS_i            6811.546918568742    All      1.006715795423098          0.04730126538845525        1.6985769454765487         -0.2367131884379009       
Zeropoint     AB|SDSS|SDSS_r            5616.960968063039    All      0.7302958867949976         0.16757213093772094        -1.941193511576611         -0.26992419118673366      
Check         All|All|All               All                  All      0.939337211449525          1.0251838803508662         0.05247379674210295        0.030304748877853227      
Lambda        AB|SDSS|SDSS_z            8098.361484804634    All      -2.436560031159432e-06     1.1870060913725698e-05     0.00011520633481625006     9.801266714889705e-06     
Lambda        AB|SDSS|SDSS_u            3269.013400654163    All      -0.00010553738827090298    8.298106001890923e-05      0.0003112979183130106      7.529845703540543e-05     
Lambda        AB|SDSS|SDSS_g            4298.581484637925    All      -0.0004118184821065168     0.0001783702932422688      -0.0012961689134519437     0.00013440183524621153    
Lambda        AB|SDSS|SDSS_i            6811.546918568742    All      -0.0005749475267686961     -1.9529835112490434e-05    -0.0009124965748432775     0.0001401972836816536     
Lambda        AB|SDSS|SDSS_r            5616.960968063039    All      -2.312737465520089e-06     -2.643110817429251e-05     -4.6616695169028816e-05    -9.936435813332042e-06    
MWEBV         All|All|All               All                  All      -0.7707912362878271        -3.5609453929103196        0.48085405661280056        -0.8873866940933353       
Redshift      All|All|All               All                  All      5.096445324631582          0.6125467110521754         -0.8513690040580446        -1.4985459827802472       
