#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5559.942577331896     All      1.1617849633516704         0.15355499961344776        -0.34394562856233923      -0.34376238268770787      
Zeropoint     AB|PS|PS_r                4590.3785369871575    All      -0.05980736538608433       0.5846667994060084         0.37855990698112796       0.22681982802882972       
Zeropoint     AB|PS|PS_g                3614.6645053551165    All      -0.7471615738122473        0.2486243158180912         -0.27313009240146857      0.3121716830525529        
Zeropoint     AB|PS|PS_z                6389.730685291217     All      0.6383511621949886         0.012360448283388337       0.2420183102725519        -0.19310560436620866      
Check         All|All|All               All                   All      0.9931671863483273         0.9992065631209357         0.0035024962898720646     0.0021235240274660727     
Lambda        AB|PS|PS_i                5559.942577331896     All      -5.912137131093674e-05     -2.340822777540961e-05     -0.0004533575403799528    -8.598319054243132e-06    
Lambda        AB|PS|PS_r                4590.3785369871575    All      -0.00036466187162782386    -0.00027384797442424596    -0.002617348108363282     -8.721915102351525e-05    
Lambda        AB|PS|PS_g                3614.6645053551165    All      -0.001337534271573262      0.0003502512314641205      -0.0011984478823771484    0.0004962860401145645     
Lambda        AB|PS|PS_z                6389.730685291217     All      9.500061791149093e-05      -6.411916368374969e-06     -0.0001337319475712355    -3.900124139971504e-05    
MWEBV         All|All|All               All                   All      -0.4751454901491079        -2.7128243561072907        -0.0034838871750205516    -0.7290410939743195       
Redshift      All|All|All               All                   All      4.954104212972341          0.382046398293312          0.8814454873947948        -1.4499347827055187       
