#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5559.942577331896     All      1.146365223093896         0.16034521008272407        -0.28133308320903994      -0.3337337607201337        
Zeropoint     AB|PS|PS_r                4590.3785369871575    All      -0.10880990172169236      0.5656921948169469         0.17563831908309901       0.22754545480554522        
Zeropoint     AB|PS|PS_g                3614.6645053551165    All      -0.7369441558055064       0.25242546512753705        -0.28211861024573515      0.30968057698025336        
Zeropoint     AB|PS|PS_z                6389.730685291217     All      0.6933923967770247        0.020712805155831404       0.3972804971943411        -0.2013850695457878        
Check         All|All|All               All                   All      0.9940035623437219        0.9991756751830394         0.009467122822665042      0.002107201519877061       
Lambda        AB|PS|PS_i                5559.942577331896     All      -5.568168745538617e-05    -3.0422002274306443e-05    -0.000502134638072825     -1.4180052193777623e-05    
Lambda        AB|PS|PS_r                4590.3785369871575    All      -0.0002692510021655503    -0.00023696192583113105    -0.0019283987722851603    -7.55379659506996e-05      
Lambda        AB|PS|PS_g                3614.6645053551165    All      -0.0012977891620448926    0.00034685341048839067     -0.001165317882622857     0.0004837114080175739      
Lambda        AB|PS|PS_z                6389.730685291217     All      -6.112417536684575e-05    -4.819398432547612e-05     -0.0009331987964881129    -3.743258764739473e-05     
MWEBV         All|All|All               All                   All      -0.4713023468330806       -2.709658551912142         0.02709366266626656       -0.7278971899979749        
Redshift      All|All|All               All                   All      5.3777608003405835        0.5757115773031174         3.912846405609488         -1.3895730506413573        
