#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5199.829094038425    All      0.09455490189155402        0.6035144504672019        0.4356189018356327        0.18522454010655684       
Zeropoint     AB|PS|PS_z                7238.075738793981    All      0.47475916944322255        -0.04726960322987139      0.20598396835610489       -0.16084982703853667      
Zeropoint     AB|PS|PS_i                6298.119194712125    All      1.1606692921511312         -0.09477108780568955      -0.4061257210147273       -0.42706176017454023      
Zeropoint     AB|PS|PS_g                4094.572486492552    All      -0.7341471146672103        0.537454356036271         -0.23477609753934647      0.4037254545083358        
Check         All|All|All               All                  All      0.9958362488186975         0.9989281154679119        0.0007010516376637632     0.0010384074018157663     
Lambda        AB|PS|PS_r                5199.829094038425    All      -9.145130034505616e-05     -4.4305127357745e-06      -0.0007934763508900206    -7.063671811938494e-06    
Lambda        AB|PS|PS_z                7238.075738793981    All      -0.00021052254662068113    -5.645833704797198e-05    -0.0006955032006846024    1.914666810388229e-05     
Lambda        AB|PS|PS_i                6298.119194712125    All      -0.000527248670634794      -9.953018795108225e-05    -0.0012060158798586937    8.550303164269405e-05     
Lambda        AB|PS|PS_g                4094.572486492552    All      -0.0006270730422893813     0.000356909508867714      -0.0006402086125096652    0.0002919459189717496     
MWEBV         All|All|All               All                  All      -0.5268793075669005        -3.268036251145645        0.052853381694262236      -0.890526394230173        
Redshift      All|All|All               All                  All      7.39987225715239           0.6277798267818824        5.945611335507328         -1.9405679730964183       
