#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5199.829094038425    All      0.021381270592903623       0.6351221759922865        0.4351222644934638        0.21933311258468646       
Zeropoint     AB|PS|PS_z                7238.075738793981    All      0.4986101921176499         -0.06834121985956898      0.14149331067968354       -0.17836053042804634      
Zeropoint     AB|PS|PS_i                6298.119194712125    All      1.2233474045074264         -0.11753873527400316      -0.3226230590012785       -0.45116791493961067      
Zeropoint     AB|PS|PS_g                4094.572486492552    All      -0.7479653711323601        0.5497778945093401        -0.25562298651335225      0.41131039625060944       
Check         All|All|All               All                  All      0.9953734960856199         0.9990201153680545        -0.0016304703414834476    0.0011150634676388993     
Lambda        AB|PS|PS_r                5199.829094038425    All      -5.1329566009400207e-05    1.6420451484517414e-05    -0.000682766046481735     -8.400303216312734e-06    
Lambda        AB|PS|PS_z                7238.075738793981    All      -0.00017320428201224026    -3.724995582612638e-05    -0.000502364230952866     2.1866588451326133e-05    
Lambda        AB|PS|PS_i                6298.119194712125    All      -0.00038563463269554406    -8.900697376969831e-05    -0.0009761927827559466    5.305838686914693e-05     
Lambda        AB|PS|PS_g                4094.572486492552    All      -0.0006995448575723444     0.0004223565676266823     -0.0005938721038286695    0.00033893841920993456    
MWEBV         All|All|All               All                  All      -0.532070090896132         -3.2706344943106203       0.032929832498812775      -0.8905710151016779       
Redshift      All|All|All               All                  All      7.251264948207347          0.2881307719631465        4.648153069707137         -2.06069615820662         
