#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6903.426860498932    All      1.4940059344720216        -0.6834208564210797        0.1703574201072705        -0.7016572717714675       
Zeropoint     AB|PS|PS_r                4959.417548699185    All      -0.6644668132128959       0.754969010247386          0.07053903657779684       0.4655047789809252        
Zeropoint     AB|PS|PS_g                3905.261937784365    All      -0.28486532260724495      0.26062806777371605        -0.04786606714122502      0.17554910071094892       
Zeropoint     AB|PS|PS_i                6006.928745766904    All      0.4436837262481442        0.6742060259487204         -0.19351500917312464      0.06645301089376486       
Check         All|All|All               All                  All      0.9883575249000247        1.0063822475487427         -0.0004846196292823124    0.0058496188141714395     
Lambda        AB|PS|PS_z                6903.426860498932    All      -0.0012782708850162308    0.0005784284916827221      -0.0004546931852618149    0.0005844972020580079     
Lambda        AB|PS|PS_r                4959.417548699185    All      -0.0003823569948773527    0.00021514260778413585     -0.0010349950809385464    0.00014843820083808068    
Lambda        AB|PS|PS_g                3905.261937784365    All      -0.0004134598080795244    0.00037745879869248796     -7.577628187073114e-05    0.00025424666324290625    
Lambda        AB|PS|PS_i                6006.928745766904    All      -7.606985892425448e-05    -0.00013541091138019322    -0.0003502514730950728    -3.495944764493933e-05    
MWEBV         All|All|All               All                  All      -0.4540797398549681       -3.089365861435489         0.0038879316595479396     -0.8582258876036362       
Redshift      All|All|All               All                  All      11.098479067808487        -4.615083641690809         3.0675625369333335        -4.9815331081235925       
