#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6903.426860498932    All      1.0456222452151753         -0.3419638421442883        0.03931752472773331        -0.4502278783295649       
Zeropoint     AB|PS|PS_r                4959.417548699185    All      -0.5415287876133756        0.6590349608352142         -0.08149713578208262       0.38742626737669206       
Zeropoint     AB|PS|PS_g                3905.261937784365    All      -0.3625967626187803        0.3148271363786037         -0.03678612305840767       0.21901765476820267       
Zeropoint     AB|PS|PS_i                6006.928745766904    All      0.8525862127000874         0.3689242504828272         0.07955607282822408        -0.1539943909575875       
Check         All|All|All               All                  All      0.9940829076831068         1.0008225055523567         0.000590338715467098       0.00222165285774234       
Lambda        AB|PS|PS_z                6903.426860498932    All      -0.00098344960697372       0.0002315531576959104      -0.0007504010709242012     0.0003622794195286693     
Lambda        AB|PS|PS_r                4959.417548699185    All      -0.00028787913685312014    -5.6547711249111156e-06    -0.0016153395732951747     1.984457465367104e-05     
Lambda        AB|PS|PS_g                3905.261937784365    All      -0.0005092975561063849     0.00043116997232902385     -0.00013416380986762516    0.00030035409983177335    
Lambda        AB|PS|PS_i                6006.928745766904    All      -0.0002848223902422379     -0.00016135807455794267    -0.000623236939355917      1.2404187293985209e-05    
MWEBV         All|All|All               All                  All      -0.471418634918245         -3.0713006718238844        0.014972866661555617       -0.8461989427273636       
Redshift      All|All|All               All                  All      9.200087021382053          -0.9626270685881622        8.071694307179012          -2.9501276774875214       
