#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3539.248909581494     All      -0.2179678745724841        0.08143216050422453        -0.01632902590769092       0.09679575196330781        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.8178989140615    All      -0.30982708678612547       0.20838695406331098        -0.21212593602616403       0.1593331555745446         
Zeropoint     VEGAHST|UVOT|UVOT_u                      3420.4122115303494    All      -0.12470918486435213       0.04885112051660201        0.04460898125632218        0.05852499537885025        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7487.61892470705      All      0.26190379895196003        -0.005166570807801918      0.22977022284152993        -0.07674001603598449       
Zeropoint     VEGAHST|UVOT|UVOT_v                      5326.693120807697     All      0.2171867664249062         0.052404986913323626       -0.03608934269183628       -0.0552853483584248        
Zeropoint     VEGAHST|UVOT|UVOT_b                      4287.396093891615     All      -0.17110076850023315       0.13070703562858554        0.022366053430611377       0.09930682522762621        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4731.012851449672     All      -0.11181277782835153       0.3353992882846768         -0.0008881223578227626     0.14563204995114223        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6124.074594789284     All      0.888350226536165          -0.00047695275604553444    0.08518616605623919        -0.28571878649593024       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.442547159155     All      0.5589966569178553         0.14664545385345562        -0.11656910449298064       -0.13951829654069645       
Check         All|All|All                              All                   All      0.9910197562793401         0.9981834762003317         -7.010789179195953e-05     0.002330330664435193       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3539.248909581494     All      -0.0003788669393641387     8.142906101153042e-05      -0.0004751194127531353     0.00012873115336432887     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.8178989140615    All      -0.00019371456913675888    1.4573575615087063e-05     -0.0007884305226600699     3.266226812619426e-05      
Lambda        VEGAHST|UVOT|UVOT_u                      3420.4122115303494    All      -2.6704382595837817e-05    1.1221831804504869e-06     -0.00010051454705388436    4.57852535176096e-06       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7487.61892470705      All      -7.928797367372584e-05     2.0224157669444414e-06     -7.039424391033128e-05     2.3344097076532538e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5326.693120807697     All      0.00014302961916779985     9.151703998936003e-06      -0.00010822611508116223    -4.843807587458733e-05     
Lambda        VEGAHST|UVOT|UVOT_b                      4287.396093891615     All      -2.655145018902732e-05     4.643643693291908e-07      -0.00020853781100724035    -5.061451301744043e-07     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4731.012851449672     All      -0.00022481511472595411    -9.761634307108789e-05     -0.0018012732748978388     -3.894972866649438e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6124.074594789284     All      -0.00015683387005395978    -1.2108341658942358e-06    -7.585222857891524e-05     4.730660604975706e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.442547159155     All      0.0001677779887171732      3.269605670213485e-05      -0.00020831423301611348    -5.3296736787702246e-05    
MWEBV         All|All|All                              All                   All      -1.186730717855792         -3.901594441720846         0.10696321434723322        -0.8795471542343593        
Redshift      All|All|All                              All                   All      4.211765298355492          0.6345446307113534         6.968832980737371          -0.854231449277889         
