#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3539.248909581494     All      -0.21805349141938019       0.07824645389682416       -0.03661709060989171       0.09488058759043948       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4330.8178989140615    All      -0.3231299446622137        0.19450599848251926       -0.34861070350338974       0.1530541618126282        
Zeropoint     VEGAHST|UVOT|UVOT_u                      3420.4122115303494    All      -0.15410875103305316       0.05907829067623993       0.04430441964016325        0.071419135895764         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7487.61892470705      All      0.2675258420133344         -0.009969847455870706     0.17604029001523122        -0.08253360577756301      
Zeropoint     VEGAHST|UVOT|UVOT_v                      5326.693120807697     All      0.22748613026908038        0.05551578194626927       -0.01657613286645677       -0.056756116783555605     
Zeropoint     VEGAHST|UVOT|UVOT_b                      4287.396093891615     All      -0.17771590285523375       0.1343002282600203        0.025430100559761127       0.102768747521805         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4731.012851449672     All      -0.1077374323447946        0.3374855821480338        0.14807818439345327        0.1516318324933979        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6124.074594789284     All      0.9115244909458926         -0.004523242303378083     0.05582667606149926        -0.295895595644575        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.442547159155     All      0.567894731535862          0.15300041644517037       -0.046305182117028276      -0.1372111156484445       
Check         All|All|All                              All                   All      0.993685672449494          0.9976396620958283        0.001570561573341643       0.0013580314598964638     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3539.248909581494     All      -0.0003206900358621204     6.331971156435848e-05     -0.00044025113865142954    0.00010543822196457102    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4330.8178989140615    All      -0.0001951584743611444     6.683531342600598e-06     -0.0009556243137289617     2.310145756445513e-05     
Lambda        VEGAHST|UVOT|UVOT_u                      3420.4122115303494    All      -3.5387516810104164e-05    4.871625237738182e-06     -4.0936494317456944e-05    1.1286919324544217e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7487.61892470705      All      -7.163741827149972e-05     5.099938602098922e-06     -2.0109997724853324e-05    2.409846488120317e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5326.693120807697     All      8.364371251793117e-05      1.3012593386483686e-05    -0.0001234199360398734     -2.851454409410754e-05    
Lambda        VEGAHST|UVOT|UVOT_b                      4287.396093891615     All      -4.6964120615558576e-05    3.8959526885561194e-06    -0.00019684436648251472    7.782539119221556e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4731.012851449672     All      -0.00011630887769650353    -0.0001135771936994003    -0.0014678581363485202     -6.461396764906973e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6124.074594789284     All      -0.00013395454663913195    -1.958533065555002e-06    -8.179489482048043e-05     3.934531367530004e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5290.442547159155     All      0.00015973376236297744     2.239806407783729e-05     -0.0003050004023077214     -5.834552228055309e-05    
MWEBV         All|All|All                              All                   All      -1.1675317443992554        -3.910576313356806        0.08119235273262743        -0.8898766177958243       
Redshift      All|All|All                              All                   All      4.315573210369522          0.8797094724998011        7.178184502511295          -0.7988444498454964       
