#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4680.2239022083295    All      -0.32659920512185514       0.4911535781930709         0.221962931681512          0.2762741709952095         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3501.2539307333323    All      -0.27104366346787845       0.10149170602193891        -0.05258772174665865       0.11900027739756519        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5233.647939655697     All      0.597925884600863          0.24458279769046243        0.1975379819997941         -0.10628025517147519       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4284.325171595841     All      -0.4801936786815425        0.24684001524946098        -0.26752259902548575       0.22488048790374982        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6058.3306783149       All      1.1056156443989795         -0.044442982207826276      -0.20081650126148382       -0.38357344862528636       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7407.236919955376     All      0.3681252671278927         -0.041387262378300704      0.1012575680966657         -0.12887304321724763       
Check         All|All|All                              All                   All      0.9938302488564593         0.9982378525688063         -0.00016834025565642952    0.001428189282515313       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4680.2239022083295    All      -9.323901098376932e-05     -7.083483942680922e-05     -0.0006277556553254036     -2.0716075968280196e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3501.2539307333323    All      -0.0005118889374651818     0.00013751344146534195     -0.00015660052749495544    0.0002045433572194511      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5233.647939655697     All      0.0001706861057992445      3.962105853206799e-05      -0.0005362236624207688     -6.66213970745348e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4284.325171595841     All      -0.00027749200866895667    0.00011146347750345929     -0.0003830767659727704     0.00010960064144434737     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6058.3306783149       All      -0.00021458781687293997    -2.9756812944800562e-05    -0.0007745133500711498     2.564256513628401e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7407.236919955376     All      -0.0001038799694821837     -4.530179335174195e-06     -0.00027918817621048775    1.990260912253182e-05      
MWEBV         All|All|All                              All                   All      -1.0298001538210118        -3.9042488900166816        -0.024760035723515306      -0.9374074466090526        
Redshift      All|All|All                              All                   All      6.3334087515252655         0.5952443277197794         9.26735316606297           -1.4555495244478371        
