#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4680.2239022083295    All      -0.3881830481898936        0.520666866252828         0.04657788863291629        0.2981208746532349         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3501.2539307333323    All      -0.30811664783066894       0.11807394771032875       -0.10966997430665038       0.13393023096449075        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5233.647939655697     All      0.5841041438270813         0.25262386399997894       0.1676718007692743         -0.1004916101373654        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4284.325171595841     All      -0.5062460888631497        0.24357782623534163       -0.38407451152204924       0.22710283616285687        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6058.3306783149       All      1.1042785607330514         -0.06625345378847847      -0.01768636966699294       -0.3820700479367778        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7407.236919955376     All      0.43621958476114847        -0.05663799049089313      0.1852223569107414         -0.15227430369878503       
Check         All|All|All                              All                   All      0.9220565044375688         1.0120510599191057        -0.11195880918276058       0.024317980007654283       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4680.2239022083295    All      -0.0001187825857154781     8.725105184876122e-06     -0.00045368053554531093    2.128777118262105e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3501.2539307333323    All      -0.0006875563909412527     0.00020233280952598162    -0.00030271438444141847    0.0002763574364165342      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5233.647939655697     All      0.00017868059425619963     7.888346227753916e-05     -0.0005219500872070782     -5.5799444275579866e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4284.325171595841     All      -0.0003572745559331149     0.000157232458501681      -0.0003766656314626271     0.0001507830042099075      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6058.3306783149       All      -4.852381330229638e-05     -4.701094079887014e-05    -0.000740753771667645      -3.256364632411763e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7407.236919955376     All      -0.00011284031261917031    -8.968448693971942e-06    -0.0003703608550039897     1.7306979410310025e-05     
MWEBV         All|All|All                              All                   All      -1.0415662034706914        -3.907537717920917        -0.08568899245948725       -0.9373651160968           
Redshift      All|All|All                              All                   All      5.765562131563598          -0.11148017153317369      8.439412357409893          -1.5377338143751196        
